Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-3M-AB46-01	59	51	63	25
TCGA-3M-AB47-01	77	0	31	33
TCGA-B7-5816-01	730	551	103	23
TCGA-B7-5818-01	72	81	284	57
TCGA-B7-A5TI-01	559	102	11	21
TCGA-B7-A5TJ-01	176	0	111	25
TCGA-B7-A5TK-01	54	0	16	0
TCGA-B7-A5TN-01	44	1	28	27
TCGA-BR-4183-01	45	0	19	6
TCGA-BR-4184-01	4082	0	0	55
TCGA-BR-4187-01	24	0	2	12
TCGA-BR-4188-01	79	0	24	0
TCGA-BR-4191-01	51	67	83	53
TCGA-BR-4201-01	1104	338	3	52
TCGA-BR-4253-01	36	11	44	13
TCGA-BR-4255-01	39	10	15	10
TCGA-BR-4256-01	651	362	124	0
TCGA-BR-4257-01	696	420	42	75
TCGA-BR-4267-01	21	14	55	17
TCGA-BR-4279-01	28	7	0	26
TCGA-BR-4280-01	397	273	102	0
TCGA-BR-4292-01	1378	24	76	18
TCGA-BR-4294-01	16	16	6	1
TCGA-BR-4357-01	31	47	206	35
TCGA-BR-4361-01	909	1981	0	51
TCGA-BR-4362-01	1034	397	278	0
TCGA-BR-4363-01	379	168	24	15
TCGA-BR-4366-01	80	19	80	0
TCGA-BR-4368-01	1034	363	37	0
TCGA-BR-4369-01	48	0	153	32
TCGA-BR-4370-01	1054	42	52	74
TCGA-BR-4371-01	132	0	46	25
TCGA-BR-6452-01	2054	3810	86	177
TCGA-BR-6453-01	37	0	188	1
TCGA-BR-6454-01	46	27	77	29
TCGA-BR-6455-01	96	0	19	0
TCGA-BR-6456-01	13	15	16	3
TCGA-BR-6457-01	49	0	78	14
TCGA-BR-6458-01	24	0	341	10
TCGA-BR-6563-01	50	1	25	10
TCGA-BR-6564-01	17	0	3	21
TCGA-BR-6565-01	57	38	42	39
TCGA-BR-6566-01	654	307	60	27
TCGA-BR-6705-01	46	1	65	4
TCGA-BR-6706-01	11	12	204	16
TCGA-BR-6707-01	65	0	18	7
TCGA-BR-6709-01	13	14	20	6
TCGA-BR-6801-01	40	2	11	8
TCGA-BR-6802-01	400	104	0	20
TCGA-BR-6803-01	11	0	6	2
