Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-3M-AB46-01	1.26E+00	4.74E+00	4.90E+00	2.97E+00
TCGA-3M-AB47-01	1.22E+00	2.32E+00	1.77E+00	1.25E+00
TCGA-B7-5816-01	1.63E+01	1.58E+01	2.24E+00	2.69E+00
TCGA-B7-5818-01	2.11E+00	7.40E+00	6.42E+00	5.15E+00
TCGA-B7-A5TI-01	2.91E+00	2.00E+00	2.05E+00	1.61E+00
TCGA-B7-A5TJ-01	1.64E+00	3.00E+00	2.70E+00	2.37E+00
TCGA-B7-A5TK-01	7.81E-01	1.34E+00	1.17E+00	7.17E-01
TCGA-B7-A5TN-01	1.29E+00	2.65E+00	2.02E+00	1.32E+00
TCGA-BR-4183-01	6.60E-01	9.90E-01	7.99E-01	6.57E-01
TCGA-BR-4184-01	1.68E+01	1.71E+01	7.81E-01	2.27E+00
TCGA-BR-4187-01	6.95E-01	6.59E-01	5.25E-01	5.59E-01
TCGA-BR-4188-01	8.13E-01	1.25E+00	9.31E-01	4.74E-01
TCGA-BR-4191-01	1.74E+00	6.68E+00	6.60E+00	3.82E+00
TCGA-BR-4201-01	1.04E+01	1.06E+01	8.15E-01	1.35E+00
TCGA-BR-4253-01	9.29E-01	1.70E+00	1.48E+00	1.11E+00
TCGA-BR-4255-01	7.86E-01	1.01E+00	1.06E+00	7.20E-01
TCGA-BR-4256-01	9.98E+00	9.03E+00	2.21E+00	2.47E+00
TCGA-BR-4257-01	1.29E+01	1.37E+01	1.61E+00	2.22E+00
TCGA-BR-4267-01	7.60E-01	2.81E+00	2.78E+00	1.68E+00
TCGA-BR-4279-01	6.68E-01	7.17E-01	7.08E-01	5.95E-01
TCGA-BR-4280-01	9.67E+00	9.53E+00	2.48E+00	1.90E+00
TCGA-BR-4292-01	5.48E+00	4.54E+00	1.83E+00	1.17E+00
TCGA-BR-4294-01	4.48E-01	9.70E-01	1.03E+00	6.00E-01
TCGA-BR-4357-01	1.58E+00	5.70E+00	5.58E+00	3.44E+00
TCGA-BR-4361-01	5.64E+01	6.33E+01	2.99E+00	1.84E+01
TCGA-BR-4362-01	1.60E+01	1.54E+01	4.91E+00	5.27E+00
TCGA-BR-4363-01	6.05E+00	6.31E+00	1.16E+00	1.08E+00
TCGA-BR-4366-01	1.60E+00	4.09E+00	3.62E+00	2.24E+00
TCGA-BR-4368-01	9.58E+00	8.45E+00	1.75E+00	1.18E+00
TCGA-BR-4369-01	1.41E+00	3.79E+00	3.10E+00	2.57E+00
TCGA-BR-4370-01	3.35E+00	2.72E+00	1.38E+00	1.57E+00
TCGA-BR-4371-01	1.76E+00	3.31E+00	2.10E+00	1.43E+00
TCGA-BR-6452-01	1.08E+02	1.20E+02	6.82E+00	3.33E+01
