Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-3M-AB46-01	34	84	35	19	26
TCGA-3M-AB47-01	24	82	0	8	27
TCGA-B7-5816-01	537	313	475	63	19
TCGA-B7-5818-01	19	177	75	168	55
TCGA-B7-A5TI-01	354	234	87	0	18
TCGA-B7-A5TJ-01	101	130	0	60	21
TCGA-B7-A5TK-01	12	57	1	0	0
TCGA-B7-A5TN-01	0	73	3	5	19
TCGA-BR-4183-01	10	51	1	4	4
TCGA-BR-4184-01	4137	0	0	0	0
TCGA-BR-4187-01	11	18	0	0	9
TCGA-BR-4188-01	21	79	0	3	0
TCGA-BR-4191-01	16	114	46	25	53
TCGA-BR-4201-01	680	503	273	0	41
TCGA-BR-4253-01	10	53	10	20	11
TCGA-BR-4255-01	8	47	9	2	8
TCGA-BR-4256-01	485	268	313	71	0
TCGA-BR-4257-01	465	328	356	21	63
TCGA-BR-4267-01	0	55	12	25	15
TCGA-BR-4279-01	4	31	7	0	19
TCGA-BR-4280-01	413	23	243	93	0
TCGA-BR-4292-01	631	786	66	0	13
TCGA-BR-4294-01	24	0	11	3	1
TCGA-BR-4357-01	0	119	42	125	33
TCGA-BR-4361-01	811	282	1792	0	56
TCGA-BR-4362-01	666	523	368	152	0
TCGA-BR-4363-01	239	181	144	10	12
TCGA-BR-4366-01	30	99	17	33	0
TCGA-BR-4368-01	663	471	300	0	0
TCGA-BR-4369-01	36	58	0	110	29
TCGA-BR-4370-01	525	583	59	0	55
TCGA-BR-4371-01	47	124	0	12	20
TCGA-BR-6452-01	2321	0	3420	224	162
TCGA-BR-6453-01	41	34	0	151	0
TCGA-BR-6454-01	19	67	24	42	27
TCGA-BR-6455-01	52	61	0	2	0
TCGA-BR-6456-01	0	31	12	3	1
TCGA-BR-6457-01	11	74	3	41	12
TCGA-BR-6458-01	37	45	0	290	3
TCGA-BR-6563-01	18	45	5	10	8
TCGA-BR-6564-01	6	18	0	0	17
TCGA-BR-6565-01	10	90	30	12	34
TCGA-BR-6566-01	562	147	262	55	22
TCGA-BR-6705-01	8	68	6	31	3
TCGA-BR-6706-01	17	23	25	165	13
TCGA-BR-6707-01	20	64	0	0	6
TCGA-BR-6709-01	20	0	12	15	6
TCGA-BR-6801-01	0	53	3	0	5
TCGA-BR-6802-01	427	0	67	17	13
TCGA-BR-6803-01	0	18	0	0	1
TCGA-BR-6852-01	739	104	235	60	34
TCGA-BR-7196-01	16	51	7	12	0
TCGA-BR-7197-01	27	99	0	82	16
TCGA-BR-7703-01	316	323	118	10	10
TCGA-BR-7704-01	0	184	45	182	38
TCGA-BR-7707-01	715	392	342	55	24
TCGA-BR-7715-01	36	76	6	25	24
TCGA-BR-7716-01	0	97	12	44	42
TCGA-BR-7717-01	36	90	7	39	6
TCGA-BR-7722-01	16	32	3	0	7
TCGA-BR-7723-01	6	91	25	86	0
TCGA-BR-7851-01	682	635	224	0	30
TCGA-BR-7901-01	9	105	22	79	14
TCGA-BR-7957-01	10	37	0	3	11
