NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	168.429	70.792	31.205	47.623	0.55	0.813	20000.0
2	167.119	71.976	30.632	50.012	0.581	0.795	40000.0
3	168.96	71.895	30.946	50.108	0.578	0.796	20000.0
4	167.161	71.782	30.004	49.803	0.579	0.797	30000.0
5	169.667	71.913	30.724	50.056	0.58	0.797	30000.0
6	167.65	71.978	30.48	50.296	0.579	0.792	20000.0
7	168.712	70.68	31.374	47.845	0.548	0.81	40000.0
8	169.269	71.091	31.712	48.021	0.553	0.812	30000.0
9	169.799	71.094	31.475	47.861	0.553	0.81	40000.0
10	168.54	70.65	31.422	47.507	0.547	0.816	50000.0
11	167.979	70.824	31.567	47.915	0.551	0.812	20000.0
12	168.144	70.63	31.274	47.762	0.544	0.811	30000.0
13	167.474	71.803	30.724	50.001	0.571	0.798	40000.0
14	174.385	70.55	32.27	48.608	0.559	0.807	20000.0
15	170.421	71.201	32.011	48.046	0.556	0.811	30000.0
16	168.891	70.957	31.269	47.958	0.555	0.809	40000.0
17	168.156	70.58	31.464	47.663	0.546	0.814	50000.0
18	168.698	70.781	31.42	47.826	0.55	0.811	20000.0
19	169.306	71.338	31.593	48.355	0.552	0.808	40000.0
20	168.762	71.074	31.467	48.054	0.552	0.811	30000.0
21	168.075	70.494	31.342	47.685	0.545	0.813	30000.0
22	167.99	70.855	31.157	47.797	0.55	0.812	40000.0
23	169.369	70.89	31.545	47.884	0.551	0.813	40000.0
24	168.602	71.539	30.584	49.747	0.57	0.8	30000.0
25	168.291	71.997	30.411	49.914	0.584	0.797	30000.0
26	168.453	70.314	31.29	47.54	0.546	0.815	30000.0
27	167.468	71.974	30.41	50.251	0.575	0.794	40000.0
28	168.527	70.708	31.358	47.941	0.55	0.812	20000.0
29	167.027	72.211	30.345	49.916	0.582	0.797	30000.0
30	169.037	70.654	31.648	47.811	0.546	0.813	20000.0
31	168.32	71.057	31.258	48.034	0.552	0.812	30000.0
32	168.694	71.965	30.661	50.067	0.575	0.798	20000.0
33	168.115	70.77	31.466	47.865	0.55	0.813	30000.0
34	168.223	71.913	30.994	50.166	0.578	0.795	20000.0
35	171.889	71.17	32.318	48.125	0.547	0.81	30000.0
36	169.681	71.108	31.717	48.009	0.555	0.81	40000.0
37	169.436	72.437	30.985	50.387	0.588	0.79	60000.0
38	167.673	71.909	30.181	49.956	0.577	0.795	40000.0
39	169.544	70.668	31.651	47.784	0.551	0.813	60000.0
40	168.395	70.611	31.44	47.856	0.548	0.812	40000.0
41	169.242	71.073	31.533	48.095	0.556	0.809	30000.0
42	168.958	70.705	31.443	47.955	0.548	0.811	30000.0
43	168.547	70.783	31.369	48.051	0.542	0.812	30000.0
44	167.595	72.095	30.696	50.239	0.577	0.793	40000.0
45	169.125	71.999	30.78	50.217	0.575	0.796	20000.0
46	169.969	70.737	31.676	47.766	0.549	0.813	40000.0
47	168.888	70.737	31.682	47.662	0.546	0.815	30000.0
48	169.359	71.133	31.85	48.203	0.549	0.813	40000.0
49	168.979	71.947	30.395	49.727	0.575	0.799	30000.0
50	169.418	71.196	31.674	48.342	0.556	0.806	20000.0
51	168.215	70.295	31.465	47.474	0.544	0.815	20000.0
52	169.179	72.247	31.104	50.323	0.577	0.793	50000.0
53	167.361	71.555	30.305	49.395	0.58	0.798	20000.0
54	169.457	70.969	31.629	48.09	0.555	0.81	20000.0
55	168.331	70.815	31.633	47.712	0.549	0.815	30000.0
56	169.932	71.065	31.85	48.136	0.555	0.809	20000.0
57	167.3	72.154	30.519	50.268	0.59	0.79	40000.0
58	167.971	70.615	31.373	47.812	0.549	0.812	30000.0
