Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-3M-AB46-01	4	29	18	129	16	2
TCGA-3M-AB47-01	51	14	0	42	27	7
TCGA-B7-5816-01	374	388	492	70	18	65
TCGA-B7-5818-01	30	30	52	247	42	93
TCGA-B7-A5TI-01	295	258	95	21	20	4
TCGA-B7-A5TJ-01	122	68	0	45	22	55
TCGA-B7-A5TK-01	34	6	0	30	0	0
TCGA-B7-A5TN-01	37	0	2	38	19	4
TCGA-BR-4183-01	37	4	1	18	5	5
TCGA-BR-4184-01	0	4133	0	0	2	2
TCGA-BR-4187-01	13	7	0	9	9	0
TCGA-BR-4188-01	70	9	0	18	0	6
TCGA-BR-4191-01	0	25	21	174	32	2
TCGA-BR-4201-01	601	500	300	46	48	2
TCGA-BR-4253-01	22	8	7	45	10	12
TCGA-BR-4255-01	27	4	9	24	8	2
TCGA-BR-4256-01	321	350	318	81	0	67
TCGA-BR-4257-01	384	335	378	35	68	33
TCGA-BR-4267-01	14	0	9	59	13	12
TCGA-BR-4279-01	24	0	8	7	22	0
TCGA-BR-4280-01	143	299	237	18	0	75
TCGA-BR-4292-01	929	443	90	0	20	14
TCGA-BR-4294-01	0	13	4	22	0	0
TCGA-BR-4357-01	17	9	28	172	26	67
TCGA-BR-4361-01	366	614	1780	120	52	9
TCGA-BR-4362-01	653	472	419	0	0	165
TCGA-BR-4363-01	224	171	158	0	14	19
TCGA-BR-4366-01	44	21	13	80	0	21
TCGA-BR-4368-01	539	483	316	85	0	11
TCGA-BR-4369-01	32	26	0	69	26	80
TCGA-BR-4370-01	657	375	72	41	68	9
TCGA-BR-4371-01	91	27	0	51	22	12
TCGA-BR-6452-01	402	1744	3105	596	134	146
TCGA-BR-6453-01	42	26	0	24	0	134
TCGA-BR-6454-01	23	16	19	72	23	26
TCGA-BR-6455-01	44	35	0	35	0	1
TCGA-BR-6456-01	11	0	10	23	1	2
TCGA-BR-6457-01	50	3	3	38	12	35
TCGA-BR-6458-01	58	18	0	33	2	264
TCGA-BR-6563-01	41	10	6	10	9	10
TCGA-BR-6564-01	6	4	0	18	13	0
TCGA-BR-6565-01	30	10	23	79	29	5
TCGA-BR-6566-01	278	411	264	23	21	51
TCGA-BR-6705-01	43	2	5	37	3	26
TCGA-BR-6706-01	29	7	28	17	14	148
TCGA-BR-6707-01	39	11	0	34	6	0
TCGA-BR-6709-01	0	13	7	23	4	6
TCGA-BR-6801-01	32	0	3	21	5	0
TCGA-BR-6802-01	76	349	70	0	15	14
TCGA-BR-6803-01	8	0	0	10	1	0
TCGA-BR-6852-01	297	540	229	24	30	52
TCGA-BR-7196-01	17	12	3	48	0	6
TCGA-BR-7197-01	78	11	0	43	18	74
TCGA-BR-7703-01	328	221	126	72	11	19
TCGA-BR-7704-01	34	7	31	245	31	101
TCGA-BR-7707-01	539	523	372	0	25	69
TCGA-BR-7715-01	54	23	6	38	25	21
TCGA-BR-7716-01	0	7	4	148	25	11
TCGA-BR-7717-01	64	21	7	47	6	33
TCGA-BR-7722-01	22	10	3	16	7	0
TCGA-BR-7723-01	53	0	25	60	0	70
TCGA-BR-7851-01	753	495	263	13	39	8
TCGA-BR-7901-01	36	9	17	105	12	50
TCGA-BR-7957-01	20	6	0	22	11	2
TCGA-BR-7958-01	29	16	9	104	11	39
TCGA-BR-7959-01	31	17	1	43	16	17
TCGA-BR-8058-01	3	2	13	33	4	5
TCGA-BR-8059-01	213	182	144	196	23	78
TCGA-BR-8060-01	41	0	35	119	0	86
TCGA-BR-8077-01	39	19	5	53	18	7
TCGA-BR-8078-01	606	604	303	0	51	40
TCGA-BR-8080-01	53	39	12	41	20	58
TCGA-BR-8081-01	417	390	146	31	13	25
TCGA-BR-8284-01	186	114	17	54	18	12
TCGA-BR-8285-01	45	12	0	41	4	18
TCGA-BR-8286-01	28	31	7	66	9	27
TCGA-BR-8289-01	39	17	19	70	18	76
TCGA-BR-8291-01	6	2	1	15	4	4
TCGA-BR-8295-01	7	8	3	21	7	11
TCGA-BR-8296-01	41	11	0	37	1	0
TCGA-BR-8297-01	45	40	18	63	0	125
TCGA-BR-8360-01	373	455	115	15	26	16
TCGA-BR-8361-01	719	560	317	56	42	46
TCGA-BR-8363-01	372	416	348	88	23	83
TCGA-BR-8364-01	7	0	5	10	2	1
TCGA-BR-8365-01	15	0	0	13	1	0
TCGA-BR-8366-01	22	31	19	50	11	77
TCGA-BR-8367-01	28	19	0	17	4	7
TCGA-BR-8368-01	598	336	110	5	0	24
TCGA-BR-8369-01	72	33	13	67	2	69
TCGA-BR-8370-01	57	21	0	56	0	8
TCGA-BR-8371-01	8	0	8	6	0	3
TCGA-BR-8372-01	297	366	695	20	31	35
TCGA-BR-8373-01	35	8	13	28	19	10
TCGA-BR-8380-01	42	13	0	17	12	7
TCGA-BR-8381-01	51	29	0	76	0	7
TCGA-BR-8382-01	447	369	159	10	4	36
TCGA-BR-8384-01	18	9	2	21	0	12
TCGA-BR-8483-01	50	37	0	44	6	17
TCGA-BR-8484-01	24	9	7	38	8	14
TCGA-BR-8485-01	28	0	35	41	9	275
TCGA-BR-8486-01	13	14	12	29	0	0
TCGA-BR-8487-01	1013	992	1110	78	0	0
TCGA-BR-8588-01	67	15	5	38	0	26
TCGA-BR-8589-01	0	0	126	25	70	1168
TCGA-BR-8590-01	41	4	5	36	0	69
TCGA-BR-8591-01	538	507	444	87	0	51
TCGA-BR-8592-01	31	2	3	2	4	1
TCGA-BR-8676-01	28	9	0	39	10	13
TCGA-BR-8677-01	31	0	2	43	8	0
TCGA-BR-8678-01	36	7	0	59	32	2
TCGA-BR-8679-01	65	45	0	68	2	20
TCGA-BR-8680-01	8	221	204	0	7279	100
TCGA-BR-8682-01	47	6	0	15	13	3
