Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-3M-AB46-01	5	38	18	4	115	2	16
TCGA-3M-AB47-01	47	7	11	1	44	7	24
TCGA-B7-5816-01	285	459	209	340	27	66	21
TCGA-B7-5818-01	27	59	22	25	230	91	40
TCGA-B7-A5TI-01	246	234	139	44	6	4	20
TCGA-B7-A5TJ-01	112	29	43	0	53	56	19
TCGA-B7-A5TK-01	31	4	3	2	30	0	0
TCGA-B7-A5TN-01	34	0	0	6	38	4	18
TCGA-BR-4183-01	33	9	1	1	17	5	4
TCGA-BR-4184-01	39	155	3678	210	0	1	54
TCGA-BR-4187-01	14	0	6	0	10	0	8
TCGA-BR-4188-01	63	13	2	1	18	6	0
TCGA-BR-4191-01	0	55	14	0	153	1	31
TCGA-BR-4201-01	490	467	277	189	25	4	45
TCGA-BR-4253-01	20	11	4	5	43	12	9
TCGA-BR-4255-01	24	0	4	12	26	2	6
TCGA-BR-4256-01	248	411	181	193	38	66	0
TCGA-BR-4257-01	293	437	172	232	0	34	65
TCGA-BR-4267-01	14	4	1	7	58	12	11
TCGA-BR-4279-01	21	6	1	6	7	0	20
TCGA-BR-4280-01	98	293	174	133	0	74	0
TCGA-BR-4292-01	842	235	256	124	16	19	4
TCGA-BR-4294-01	0	4	9	3	23	0	0
TCGA-BR-4357-01	17	39	5	10	157	66	25
TCGA-BR-4361-01	217	655	404	1522	91	20	32
TCGA-BR-4362-01	555	320	286	375	5	168	0
TCGA-BR-4363-01	178	191	87	98	0	19	13
TCGA-BR-4366-01	41	15	12	12	79	20	0
TCGA-BR-4368-01	439	460	263	202	57	13	0
TCGA-BR-4369-01	34	0	22	0	73	80	24
TCGA-BR-4370-01	581	250	210	65	51	10	55
TCGA-BR-4371-01	91	0	20	0	60	13	19
TCGA-BR-6452-01	155	1668	1105	2459	458	154	128
TCGA-BR-6453-01	40	0	19	4	29	134	0
TCGA-BR-6454-01	22	22	10	14	65	25	21
TCGA-BR-6455-01	39	11	23	2	39	1	0
TCGA-BR-6456-01	8	9	0	7	19	2	2
TCGA-BR-6457-01	46	3	2	6	39	35	10
TCGA-BR-6458-01	56	0	14	0	38	264	3
TCGA-BR-6563-01	38	0	7	10	13	11	7
TCGA-BR-6564-01	6	0	4	0	19	0	12
TCGA-BR-6565-01	27	17	8	16	77	5	26
TCGA-BR-6566-01	209	392	228	142	0	50	27
TCGA-BR-6705-01	40	3	0	8	37	26	2
TCGA-BR-6706-01	26	3	8	27	21	146	12
TCGA-BR-6707-01	37	0	8	5	36	0	4
TCGA-BR-6709-01	0	9	9	3	22	6	4
TCGA-BR-6801-01	25	7	0	4	20	0	5
TCGA-BR-6802-01	63	124	244	62	0	14	17
TCGA-BR-6803-01	8	0	0	1	9	0	1
TCGA-BR-6852-01	233	371	331	136	17	51	33
