Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-3M-AB46-01	9	35	15	4	119	0	0	16
TCGA-3M-AB47-01	42	4	11	18	36	0	7	23
TCGA-B7-5816-01	295	420	207	96	44	262	59	24
TCGA-B7-5818-01	0	32	31	99	186	18	94	34
TCGA-B7-A5TI-01	234	187	140	71	16	26	1	18
TCGA-B7-A5TJ-01	102	14	44	39	39	0	57	17
TCGA-B7-A5TK-01	31	5	2	1	29	2	0	0
TCGA-B7-A5TN-01	31	5	0	3	37	3	4	17
TCGA-BR-4183-01	26	0	3	22	9	3	5	2
TCGA-BR-4184-01	135	75	3492	179	1	198	2	55
TCGA-BR-4187-01	13	0	5	0	11	0	0	9
TCGA-BR-4188-01	63	14	1	0	19	0	6	0
TCGA-BR-4191-01	0	39	14	26	147	0	0	28
TCGA-BR-4201-01	452	380	287	201	0	137	0	40
TCGA-BR-4253-01	16	8	5	15	35	4	13	8
TCGA-BR-4255-01	24	0	3	2	24	12	2	7
TCGA-BR-4256-01	209	307	200	192	12	155	62	0
TCGA-BR-4257-01	273	362	181	151	0	176	28	62
TCGA-BR-4267-01	14	7	0	0	58	5	11	12
TCGA-BR-4279-01	20	6	0	3	7	5	0	20
TCGA-BR-4280-01	131	296	163	0	40	75	67	0
TCGA-BR-4292-01	849	260	227	0	43	85	15	17
TCGA-BR-4294-01	0	3	9	2	21	4	0	0
TCGA-BR-4357-01	16	33	5	19	153	5	63	25
TCGA-BR-4361-01	189	568	424	349	0	1372	26	13
TCGA-BR-4362-01	581	329	264	24	32	312	167	0
TCGA-BR-4363-01	190	189	85	21	0	66	16	19
TCGA-BR-4366-01	36	12	13	16	73	9	20	0
TCGA-BR-4368-01	392	357	280	221	19	157	8	0
TCGA-BR-4369-01	29	0	20	16	65	0	80	23
TCGA-BR-4370-01	570	230	198	62	54	41	6	61
TCGA-BR-4371-01	86	2	17	8	56	0	14	20
TCGA-BR-6452-01	41	1327	1178	929	253	2171	158	70
TCGA-BR-6453-01	40	0	17	3	26	5	135	0
TCGA-BR-6454-01	14	7	12	27	60	16	25	18
TCGA-BR-6455-01	33	4	24	21	29	2	2	0
TCGA-BR-6456-01	2	1	0	22	13	7	2	0
TCGA-BR-6457-01	42	4	1	6	37	5	36	10
TCGA-BR-6458-01	57	0	11	1	37	0	266	3
TCGA-BR-6563-01	37	4	5	0	13	8	11	8
TCGA-BR-6564-01	6	1	3	0	19	0	0	12
TCGA-BR-6565-01	29	25	5	0	78	8	4	27
TCGA-BR-6566-01	221	349	224	70	22	90	42	30
TCGA-BR-6705-01	37	4	0	2	37	8	26	2
TCGA-BR-6706-01	27	11	5	0	18	20	148	14
TCGA-BR-6707-01	38	2	6	0	36	3	0	5
TCGA-BR-6709-01	0	8	9	4	21	1	6	4
TCGA-BR-6801-01	16	0	0	33	5	5	0	2
TCGA-BR-6802-01	68	107	234	36	8	42	12	17
TCGA-BR-6803-01	7	0	0	0	9	2	0	1
TCGA-BR-6852-01	231	323	324	105	27	83	45	34
TCGA-BR-7196-01	3	2	10	33	31	1	6	0
TCGA-BR-7197-01	61	0	9	31	33	0	77	13
TCGA-BR-7703-01	265	199	117	65	61	43	16	11
TCGA-BR-7704-01	25	25	8	40	216	12	97	26
TCGA-BR-7707-01	441	390	296	104	4	204	63	26
TCGA-BR-7715-01	45	9	15	15	34	6	21	22
TCGA-BR-7716-01	0	10	6	15	132	0	10	22
TCGA-BR-7717-01	60	9	11	0	50	10	33	5
TCGA-BR-7722-01	16	0	8	9	14	6	0	5
TCGA-BR-7723-01	38	16	0	24	47	12	71	0
TCGA-BR-7851-01	582	376	268	193	0	120	4	28
TCGA-BR-7901-01	38	9	4	0	102	16	49	11
TCGA-BR-7957-01	18	2	4	5	20	0	2	10
TCGA-BR-7958-01	13	11	13	45	80	1	39	6
TCGA-BR-7959-01	19	3	13	27	33	1	17	12
TCGA-BR-8058-01	5	1	2	0	31	12	5	4
TCGA-BR-8059-01	167	171	97	71	172	64	72	22
TCGA-BR-8060-01	19	9	2	55	86	24	86	0
TCGA-BR-8077-01	33	6	13	11	48	7	7	16
TCGA-BR-8078-01	535	473	329	13	46	110	31	67
TCGA-BR-8080-01	49	27	22	0	47	3	56	19
TCGA-BR-8081-01	353	292	205	58	36	41	18	19
TCGA-BR-8284-01	150	54	66	53	43	11	12	12
TCGA-BR-8285-01	36	0	8	20	31	5	19	1
TCGA-BR-8286-01	16	0	24	34	49	14	27	4
TCGA-BR-8289-01	28	24	10	24	58	6	74	15
TCGA-BR-8291-01	6	3	1	0	14	0	4	4
TCGA-BR-8295-01	7	4	6	0	21	1	11	7
TCGA-BR-8296-01	41	0	6	0	43	0	0	0
TCGA-BR-8297-01	31	1	29	33	53	19	125	0
TCGA-BR-8360-01	296	206	274	107	25	59	12	21
TCGA-BR-8361-01	527	384	327	278	0	156	44	24
TCGA-BR-8363-01	260	324	245	190	34	183	79	15
TCGA-BR-8364-01	4	3	0	5	7	3	1	2
TCGA-BR-8365-01	8	0	0	14	6	1	0	0
TCGA-BR-8366-01	6	10	26	40	34	9	77	8
TCGA-BR-8367-01	25	0	13	5	18	4	7	3
TCGA-BR-8368-01	491	221	181	95	7	56	22	0
TCGA-BR-8369-01	56	13	19	29	55	14	70	0
TCGA-BR-8370-01	42	14	11	23	45	0	7	0
TCGA-BR-8371-01	6	3	0	5	3	5	3	0
TCGA-BR-8372-01	257	411	213	0	59	429	34	41
TCGA-BR-8373-01	31	16	3	1	28	7	9	18
TCGA-BR-8380-01	42	0	8	0	22	0	8	11
TCGA-BR-8381-01	32	0	20	41	59	4	7	0
TCGA-BR-8382-01	385	305	194	17	42	38	29	15
