Samples	SBS1	SBS2	SBS5	SBS10a	SBS10b	SBS13	SBS15	SBS17a	SBS17b	SBS21	SBS40a	SBS54	SBS87
TCGA-3M-AB46-01	18	8	38	0	0	19	28	0	0	0	87	0	0
TCGA-3M-AB47-01	54	0	40	0	0	0	0	0	0	0	47	0	0
TCGA-B7-5816-01	348	0	340	0	0	0	406	0	0	156	0	157	0
TCGA-B7-5818-01	56	0	71	0	0	0	0	38	44	0	285	0	0
TCGA-B7-A5TI-01	245	0	210	0	0	0	238	0	0	0	0	0	0
TCGA-B7-A5TJ-01	110	0	92	0	0	0	62	16	32	0	0	0	0
TCGA-B7-A5TK-01	37	6	18	0	0	9	0	0	0	0	0	0	0
TCGA-B7-A5TN-01	22	0	31	0	17	0	0	0	0	0	0	0	30
TCGA-BR-4183-01	20	0	26	0	0	0	0	0	0	0	0	0	24
TCGA-BR-4184-01	132	0	0	0	0	0	4005	0	0	0	0	0	0
TCGA-BR-4187-01	18	0	0	0	8	0	12	0	0	0	0	0	0
TCGA-BR-4188-01	60	0	43	0	0	0	0	0	0	0	0	0	0
TCGA-BR-4191-01	23	0	55	0	0	0	0	0	0	0	176	0	0
TCGA-BR-4201-01	321	0	380	0	0	0	528	0	0	0	0	0	268
TCGA-BR-4253-01	29	0	0	0	0	0	0	0	9	0	66	0	0
TCGA-BR-4255-01	26	0	48	0	0	0	0	0	0	0	0	0	0
TCGA-BR-4256-01	149	0	229	0	0	0	407	0	0	0	0	113	239
TCGA-BR-4257-01	168	0	275	0	0	0	387	0	0	0	0	135	268
TCGA-BR-4267-01	18	0	20	0	0	0	0	0	10	0	59	0	0
TCGA-BR-4279-01	4	0	6	0	15	0	12	0	0	0	0	0	24
TCGA-BR-4280-01	83	0	111	0	0	0	330	0	0	0	0	152	96
TCGA-BR-4292-01	796	0	308	0	0	0	392	0	0	0	0	0	0
TCGA-BR-4294-01	0	0	0	0	0	0	13	0	0	0	26	0	0
TCGA-BR-4357-01	34	18	66	0	0	34	0	35	38	0	94	0	0
TCGA-BR-4361-01	131	0	453	0	0	0	795	0	0	761	0	305	496
TCGA-BR-4362-01	614	0	385	0	0	0	501	0	0	0	0	209	0
TCGA-BR-4363-01	195	0	142	0	0	0	174	0	0	0	0	75	0
TCGA-BR-4366-01	51	0	128	0	0	0	0	0	0	0	0	0	0
TCGA-BR-4368-01	277	0	351	0	0	0	526	0	0	0	0	0	280
TCGA-BR-4369-01	43	17	50	0	0	12	36	16	59	0	0	0	0
TCGA-BR-4370-01	565	0	312	0	0	0	345	0	0	0	0	0	0
TCGA-BR-4371-01	105	0	98	0	0	0	0	0	0	0	0	0	0
TCGA-BR-6452-01	191	0	1455	0	0	0	2064	0	0	1131	0	564	722
TCGA-BR-6453-01	55	0	51	0	0	0	0	36	84	0	0	0	0
TCGA-BR-6454-01	9	0	20	0	0	0	28	7	15	0	62	0	38
TCGA-BR-6455-01	39	0	43	0	0	0	33	0	0	0	0	0	0
TCGA-BR-6456-01	0	0	27	0	0	0	0	0	0	0	0	0	20
TCGA-BR-6457-01	45	0	73	0	0	0	0	0	23	0	0	0	0
TCGA-BR-6458-01	69	0	86	0	0	0	0	48	172	0	0	0	0
TCGA-BR-6563-01	44	0	42	0	0	0	0	0	0	0	0	0	0
TCGA-BR-6564-01	4	0	17	0	11	0	9	0	0	0	0	0	0
TCGA-BR-6565-01	18	0	59	0	16	0	17	0	0	0	41	0	25
TCGA-BR-6566-01	253	0	231	0	0	0	423	0	0	0	0	141	0
TCGA-BR-6705-01	41	0	13	0	0	0	0	14	13	0	35	0	0
TCGA-BR-6706-01	36	0	57	0	0	0	0	76	74	0	0	0	0
TCGA-BR-6707-01	44	0	0	0	0	0	0	0	0	0	46	0	0
TCGA-BR-6709-01	0	0	38	0	0	0	15	0	0	0	0	0	0
TCGA-BR-6801-01	11	0	13	0	7	0	0	0	0	0	0	0	30
TCGA-BR-6802-01	73	0	75	0	0	0	376	0	0	0	0	0	0
TCGA-BR-6803-01	11	0	8	0	0	0	0	0	0	0	0	0	0
TCGA-BR-6852-01	268	0	154	0	0	0	586	0	0	0	0	164	0
TCGA-BR-7196-01	2	0	0	0	0	0	15	0	0	0	42	0	27
TCGA-BR-7197-01	73	0	101	0	0	0	0	0	50	0	0	0	0
TCGA-BR-7703-01	178	0	105	0	0	0	248	0	0	0	0	79	167
TCGA-BR-7704-01	24	0	14	0	0	0	0	25	60	0	265	0	61
TCGA-BR-7707-01	461	0	354	0	0	0	523	0	0	0	0	190	0
TCGA-BR-7715-01	54	0	95	0	18	0	0	0	0	0	0	0	0
TCGA-BR-7716-01	18	28	41	0	0	39	0	0	0	0	69	0	0
TCGA-BR-7717-01	67	0	84	0	0	0	0	8	19	0	0	0	0
TCGA-BR-7722-01	3	0	18	0	0	0	14	0	0	0	0	0	23
TCGA-BR-7723-01	47	0	90	0	0	0	0	33	38	0	0	0	0
TCGA-BR-7851-01	321	0	258	0	0	0	539	0	0	0	0	0	453
TCGA-BR-7901-01	48	0	0	0	0	0	0	28	26	0	127	0	0
TCGA-BR-7957-01	22	0	11	0	8	0	0	0	0	0	20	0	0
TCGA-BR-7958-01	38	0	46	0	0	0	0	0	24	0	100	0	0
TCGA-BR-7959-01	5	0	31	0	12	0	30	0	10	0	0	0	37
TCGA-BR-8058-01	9	0	20	0	0	0	0	0	0	0	31	0	0
TCGA-BR-8059-01	203	0	453	0	0	0	180	0	0	0	0	0	0
TCGA-BR-8060-01	42	0	34	0	0	0	0	36	46	0	123	0	0
TCGA-BR-8077-01	47	0	45	0	0	0	0	0	0	0	49	0	0
TCGA-BR-8078-01	500	0	278	0	0	0	602	0	0	0	0	224	0
TCGA-BR-8080-01	53	0	79	0	0	0	40	18	33	0	0	0	0
TCGA-BR-8081-01	371	0	271	0	0	0	380	0	0	0	0	0	0
TCGA-BR-8284-01	164	0	136	0	0	0	101	0	0	0	0	0	0
TCGA-BR-8285-01	46	0	6	0	0	0	0	5	10	0	53	0	0
TCGA-BR-8286-01	34	0	11	0	0	0	26	11	14	0	72	0	0
TCGA-BR-8289-01	13	0	42	0	0	0	28	18	43	0	47	0	48
TCGA-BR-8291-01	8	0	19	5	0	0	0	0	0	0	0	0	0
TCGA-BR-8295-01	7	0	16	0	6	7	10	6	5	0	0	0	0
TCGA-BR-8296-01	49	8	25	0	0	8	0	0	0	0	0	0	0
