Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA-3M-AB46-01	198.0	0.892	109.855	55.482%	14.04	49.03%	0.3383	0.803
TCGA-3M-AB47-01	141.0	0.871	109.001	77.306%	16.041	49.386%	0.57885	0.838
TCGA-B7-5816-01	1407.0	0.967	470.549	33.443%	80.11	26.288%	0.1564	0.958
TCGA-B7-5818-01	494.0	0.873	293.769	59.467%	39.767	48.758%	0.2898	0.785
TCGA-B7-A5TI-01	693.0	0.957	285.099	41.14%	55.588	29.12%	0.19941	0.95
TCGA-B7-A5TJ-01	312.0	0.965	122.543	39.277%	19.804	26.226%	0.18591	0.958
TCGA-B7-A5TK-01	70.0	0.926	46.913	67.019%	7.481	38.787%	0.56213	0.915
TCGA-B7-A5TN-01	100.0	0.883	71.051	71.051%	10.662	49.497%	0.60262	0.85
TCGA-BR-4183-01	70.0	0.896	58.875	84.107%	8.252	44.492%	0.66465	0.877
TCGA-BR-4184-01	4137.0	0.951	1944.658	47.006%	725.587	37.856%	0.18794	0.951
TCGA-BR-4187-01	38.0	0.919	26.508	69.758%	5.109	44.468%	0.95361	0.91
TCGA-BR-4188-01	103.0	0.954	61.23	59.447%	9.942	30.211%	0.44767	0.948
TCGA-BR-4191-01	254.0	0.778	175.872	69.241%	24.155	64.373%	0.4294	0.542
TCGA-BR-4201-01	1497.0	0.975	614.373	41.04%	91.787	23.166%	0.20107	0.971
TCGA-BR-4253-01	104.0	0.87	72.254	69.475%	10.052	49.643%	0.51079	0.817
TCGA-BR-4255-01	74.0	0.901	49.291	66.609%	7.387	43.378%	0.51301	0.875
TCGA-BR-4256-01	1137.0	0.963	419.676	36.911%	70.03	26.929%	0.205	0.954
TCGA-BR-4257-01	1233.0	0.96	475.523	38.566%	78.019	28.026%	0.19758	0.95
TCGA-BR-4267-01	107.0	0.745	87.963	82.208%	11.835	69.86%	0.68201	0.55
TCGA-BR-4279-01	61.0	0.899	47.922	78.561%	6.763	43.746%	0.7719	0.878
TCGA-BR-4280-01	772.0	0.953	302.089	39.131%	52.025	30.848%	0.22859	0.941
TCGA-BR-4292-01	1496.0	0.977	511.762	34.209%	104.47	21.738%	0.14731	0.974
TCGA-BR-4294-01	39.0	0.735	39.811	102.079%	5.95	67.807%	1.01116	0.65
TCGA-BR-4357-01	319.0	0.92	145.185	45.513%	20.328	40.122%	0.24286	0.863
TCGA-BR-4361-01	2941.0	0.979	814.217	27.685%	121.614	20.997%	0.0968	0.972
TCGA-BR-4362-01	1709.0	0.961	661.673	38.717%	124.968	29.125%	0.19442	0.953
TCGA-BR-4363-01	586.0	0.963	242.126	41.318%	40.171	27.271%	0.19862	0.956
TCGA-BR-4366-01	179.0	0.858	117.972	65.906%	17.005	53.909%	0.48462	0.79
TCGA-BR-4368-01	1434.0	0.977	547.39	38.172%	85.306	22.688%	0.18979	0.973
TCGA-BR-4369-01	233.0	0.951	102.743	44.096%	16.003	31.27%	0.2801	0.937
TCGA-BR-4370-01	1222.0	0.982	370.702	30.336%	71.307	19.096%	0.1311	0.979
TCGA-BR-4371-01	203.0	0.93	123.634	60.903%	20.545	37.268%	0.38045	0.918
TCGA-BR-6452-01	6127.0	0.964	1996.936	32.592%	300.556	26.948%	0.15159	0.947
TCGA-BR-6453-01	226.0	0.967	97.346	43.073%	15.85	25.618%	0.26652	0.961
TCGA-BR-6454-01	179.0	0.886	100.552	56.174%	13.609	46.816%	0.36076	0.806
TCGA-BR-6455-01	115.0	0.916	74.225	64.543%	12.266	40.418%	0.4954	0.9
TCGA-BR-6456-01	47.0	0.699	50.045	106.479%	7.332	71.553%	0.96931	0.587
TCGA-BR-6457-01	141.0	0.914	83.6	59.291%	12.073	41.631%	0.41362	0.886
TCGA-BR-6458-01	375.0	0.974	150.184	40.049%	25.266	22.578%	0.21495	0.971
TCGA-BR-6563-01	86.0	0.928	61.543	71.562%	8.581	39.414%	0.65913	0.915
TCGA-BR-6564-01	41.0	0.815	39.157	95.505%	5.89	58.036%	0.93603	0.772
TCGA-BR-6565-01	176.0	0.901	90.316	51.316%	12.537	44.548%	0.31976	0.833
