Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA-3M-AB46-01	198.0	0.91	95.077	48.019%	12.0	41.906%	0.23707	0.816
TCGA-3M-AB47-01	141.0	0.933	88.614	62.847%	11.661	35.901%	0.43961	0.917
TCGA-B7-5816-01	1407.0	0.989	287.566	20.438%	45.168	14.822%	0.0515	0.986
TCGA-B7-5818-01	494.0	0.85	306.61	62.067%	42.966	52.68%	0.33877	0.742
TCGA-B7-A5TI-01	693.0	0.993	139.362	20.11%	22.398	11.733%	0.08661	0.992
TCGA-B7-A5TJ-01	312.0	0.985	95.072	30.472%	13.22	17.507%	0.1624	0.981
TCGA-B7-A5TK-01	70.0	0.929	45.994	65.706%	7.368	38.201%	0.57546	0.919
TCGA-B7-A5TN-01	100.0	0.87	75.385	75.385%	10.774	50.017%	0.57721	0.83
TCGA-BR-4183-01	70.0	0.934	45.562	65.089%	6.644	35.822%	0.51918	0.922
TCGA-BR-4184-01	4137.0	0.972	1567.528	37.89%	573.906	29.942%	0.14989	0.972
TCGA-BR-4187-01	38.0	0.87	33.71	88.711%	5.799	50.474%	0.69765	0.854
TCGA-BR-4188-01	103.0	0.975	50.413	48.945%	7.756	23.568%	0.35656	0.972
TCGA-BR-4191-01	254.0	0.841	138.301	54.449%	20.941	55.808%	0.29744	0.688
TCGA-BR-4201-01	1497.0	0.99	297.891	19.899%	56.74	14.32%	0.04953	0.988
TCGA-BR-4253-01	104.0	0.88	69.804	67.119%	9.675	47.781%	0.44487	0.831
TCGA-BR-4255-01	74.0	0.896	52.305	70.682%	7.602	44.64%	0.55087	0.869
TCGA-BR-4256-01	1137.0	0.989	251.355	22.107%	40.625	15.622%	0.07271	0.986
TCGA-BR-4257-01	1233.0	0.99	252.852	20.507%	39.894	14.331%	0.05716	0.987
TCGA-BR-4267-01	107.0	0.79	81.268	75.951%	10.646	62.841%	0.55587	0.623
TCGA-BR-4279-01	61.0	0.891	46.789	76.703%	7.267	47.006%	0.89229	0.871
TCGA-BR-4280-01	772.0	0.98	204.33	26.468%	34.764	20.613%	0.09217	0.975
TCGA-BR-4292-01	1496.0	0.995	303.028	20.256%	53.374	11.106%	0.12812	0.995
TCGA-BR-4294-01	39.0	0.687	44.687	114.582%	6.437	73.356%	1.11951	0.584
TCGA-BR-4357-01	319.0	0.914	150.722	47.248%	20.596	40.651%	0.21754	0.85
TCGA-BR-4361-01	2941.0	0.989	548.454	18.649%	85.736	14.803%	0.03513	0.986
TCGA-BR-4362-01	1709.0	0.995	270.623	15.835%	46.44	10.823%	0.03331	0.994
TCGA-BR-4363-01	586.0	0.983	167.111	28.517%	28.121	19.091%	0.13404	0.979
TCGA-BR-4366-01	179.0	0.911	100.168	55.96%	13.337	42.281%	0.34916	0.866
TCGA-BR-4368-01	1434.0	0.991	286.632	19.988%	51.144	13.603%	0.05901	0.99
TCGA-BR-4369-01	233.0	0.961	106.739	45.811%	15.575	30.434%	0.23646	0.956
TCGA-BR-4370-01	1222.0	0.994	226.699	18.551%	41.286	11.056%	0.05121	0.994
