Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-3N-A9WB-06	113	50	0	0	0	27	3	0	28	0
TCGA-3N-A9WC-06	1156	872	0	0	0	392	34	0	133	0
TCGA-3N-A9WD-06	644	377	0	0	0	162	20	0	53	5
TCGA-BF-A1PU-01	39	47	10	0	0	0	0	0	16	0
TCGA-BF-A1PV-01	204	122	0	0	0	19	3	4	39	0
TCGA-BF-A1PX-01	236	188	0	0	0	0	2	2	29	0
TCGA-BF-A1PZ-01	137	169	6	0	0	0	0	0	21	0
TCGA-BF-A1Q0-01	415	293	0	0	0	130	18	0	81	17
TCGA-BF-A3DJ-01	95	47	6	0	0	27	0	0	23	0
TCGA-BF-A3DL-01	283	161	0	0	0	102	12	0	48	0
TCGA-BF-A3DM-01	266	246	0	0	0	83	6	0	49	0
TCGA-BF-A3DN-01	44	26	0	0	0	17	1	13	8	0
TCGA-BF-A5EO-01	390	251	0	0	0	143	8	0	67	0
TCGA-BF-A5EP-01	79	94	6	7	0	18	4	2	7	7
TCGA-BF-A5EQ-01	379	278	0	0	0	82	12	0	58	0
TCGA-BF-A5ER-01	120	99	5	0	0	23	0	0	29	0
TCGA-BF-A5ES-01	301	281	0	0	0	75	6	0	51	0
TCGA-BF-A9VF-01	49	57	0	1	0	12	0	4	2	0
TCGA-BF-AAOU-01	231	146	2	0	0	11	4	0	58	0
TCGA-BF-AAOX-01	783	568	0	0	0	171	18	0	175	0
TCGA-BF-AAP0-06	289	213	0	0	0	59	9	0	72	0
TCGA-BF-AAP1-01	549	325	0	0	0	197	11	0	137	0
TCGA-BF-AAP2-01	904	714	0	0	0	65	18	0	132	0
TCGA-BF-AAP4-01	504	458	0	0	0	51	15	0	96	0
TCGA-BF-AAP6-01	20	33	0	3	0	12	0	1	22	0
TCGA-BF-AAP7-01	237	243	0	0	0	43	7	11	77	0
TCGA-BF-AAP8-01	0	1	0	4	4	0	1	4	0	0
TCGA-D3-A1Q1-06	2	4	1	18	28	1	2	6	4	1
TCGA-D3-A1Q3-06	1	2	0	2	1	6	4	24	4	6
TCGA-D3-A1Q4-06	215	99	10	0	0	30	3	6	8	0
TCGA-D3-A1Q5-06	219	216	13	0	0	0	0	0	44	0
TCGA-D3-A1Q6-06	448	507	0	0	0	110	17	0	61	0
TCGA-D3-A1Q7-06	61	51	0	0	0	4	0	0	15	0
TCGA-D3-A1Q8-06	128	135	0	0	0	22	10	1	28	0
TCGA-D3-A1Q9-06	1	5	5	2	6	4	5	6	4	4
TCGA-D3-A1QA-06	280	174	0	0	0	80	10	0	60	0
TCGA-D3-A1QB-06	221	205	0	0	0	48	3	0	44	0
TCGA-D3-A2J6-06	4	4	4	2	1	5	0	2	4	0
TCGA-D3-A2J7-06	197	183	0	0	0	55	5	0	35	0
TCGA-D3-A2J8-06	439	178	0	0	0	70	11	0	78	0
TCGA-D3-A2J9-06	39	37	2	7	0	1	0	0	9	0
TCGA-D3-A2JA-06	216	182	0	0	1	39	3	7	45	1
TCGA-D3-A2JB-06	2	2	6	0	4	0	2	0	2	0
TCGA-D3-A2JC-06	115	105	0	1	0	5	1	7	42	0
TCGA-D3-A2JD-06	250	258	0	0	0	3	7	0	31	3
TCGA-D3-A2JE-06	213	172	0	0	0	29	5	0	29	14
TCGA-D3-A2JF-06	1005	681	0	0	0	133	16	0	139	0
TCGA-D3-A2JG-06	63	54	0	0	0	20	0	1	8	2
TCGA-D3-A2JH-06	330	325	0	0	0	94	8	0	96	0
TCGA-D3-A2JK-06	175	157	10	0	0	40	4	0	21	0
