Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
TCGA-3N-A9WB-06	97	43	0	37	0	1	7	34	2	0	0
TCGA-3N-A9WC-06	1023	828	0	517	0	0	0	219	0	0	0
TCGA-3N-A9WD-06	569	338	0	230	0	0	20	99	5	0	0
TCGA-BF-A1PU-01	37	40	8	2	0	0	7	18	0	0	0
TCGA-BF-A1PV-01	181	104	0	47	0	0	8	50	0	1	0
TCGA-BF-A1PX-01	212	164	0	38	0	0	0	43	0	0	0
TCGA-BF-A1PZ-01	129	151	1	18	0	0	5	29	0	0	0
TCGA-BF-A1Q0-01	370	274	0	174	0	0	8	109	5	0	14
TCGA-BF-A3DJ-01	84	41	5	33	0	0	7	28	0	0	0
TCGA-BF-A3DL-01	249	153	0	130	0	0	3	68	3	0	0
TCGA-BF-A3DM-01	237	224	0	106	0	0	17	66	0	0	0
TCGA-BF-A3DN-01	38	25	0	21	0	0	0	12	0	13	0
TCGA-BF-A5EO-01	342	230	0	170	0	0	24	93	0	0	0
TCGA-BF-A5EP-01	73	83	2	24	0	9	12	11	3	0	7
TCGA-BF-A5EQ-01	337	255	0	131	0	1	0	83	2	0	0
TCGA-BF-A5ER-01	106	87	3	35	0	3	8	34	0	0	0
TCGA-BF-A5ES-01	269	249	0	102	0	0	26	68	0	0	0
TCGA-BF-A9VF-01	45	48	0	15	0	3	7	5	0	2	0
TCGA-BF-AAOU-01	204	122	0	42	0	0	13	68	3	0	0
TCGA-BF-AAOX-01	694	522	0	269	0	0	10	220	0	0	0
TCGA-BF-AAP0-06	257	195	0	97	0	0	3	88	2	0	0
TCGA-BF-AAP1-01	480	309	0	244	0	0	14	172	0	0	0
TCGA-BF-AAP2-01	796	633	0	220	0	0	0	184	0	0	0
TCGA-BF-AAP4-01	452	413	0	132	0	0	0	124	3	0	0
TCGA-BF-AAP6-01	18	30	0	9	0	0	12	21	0	1	0
TCGA-BF-AAP7-01	215	223	0	75	0	1	7	87	2	8	0
TCGA-BF-AAP8-01	0	1	0	0	3	4	2	0	1	3	0
TCGA-D3-A1Q1-06	1	4	0	1	30	17	4	3	2	5	0
TCGA-D3-A1Q3-06	1	0	0	3	0	0	9	4	5	22	6
TCGA-D3-A1Q4-06	190	83	4	55	0	4	9	23	1	2	0
TCGA-D3-A1Q5-06	206	196	7	25	0	0	0	58	0	0	0
TCGA-D3-A1Q6-06	404	468	0	167	0	0	10	91	3	0	0
TCGA-D3-A1Q7-06	55	43	0	11	0	0	5	17	0	0	0
TCGA-D3-A1Q8-06	116	119	0	38	0	0	11	33	7	0	0
TCGA-D3-A1Q9-06	1	4	6	2	3	1	7	3	5	6	4
TCGA-D3-A1QA-06	246	157	0	106	0	8	10	74	3	0	0
TCGA-D3-A1QB-06	197	176	0	66	0	0	26	55	1	0	0
TCGA-D3-A2J6-06	3	3	4	4	0	1	5	4	0	2	0
TCGA-D3-A2J7-06	177	171	0	79	0	0	0	48	0	0	0
TCGA-D3-A2J8-06	383	156	0	130	0	0	0	105	2	0	0
TCGA-D3-A2J9-06	35	30	1	6	0	5	7	11	0	0	0
TCGA-D3-A2JA-06	194	162	0	63	3	9	7	55	0	1	0
TCGA-D3-A2JB-06	2	1	6	0	4	0	1	2	2	0	0
TCGA-D3-A2JC-06	105	92	0	23	0	7	0	45	0	4	0
TCGA-D3-A2JD-06	226	228	0	51	0	0	0	45	1	0	1
TCGA-D3-A2JE-06	190	149	0	56	0	6	6	41	2	0	12
TCGA-D3-A2JF-06	886	609	0	278	0	0	0	201	0	0	0
TCGA-D3-A2JG-06	56	48	0	23	0	2	5	12	0	0	2
TCGA-D3-A2JH-06	297	298	0	128	0	1	16	113	0	0	0
TCGA-D3-A2JK-06	158	139	5	57	0	0	15	32	1	0	0
TCGA-D3-A2JL-06	169	127	0	81	0	3	24	35	0	1	0
TCGA-D3-A2JN-06	156	151	0	84	0	10	1	38	4	1	1
TCGA-D3-A2JO-06	409	163	0	113	14	0	24	80	13	25	0
TCGA-D3-A2JP-06	122	124	0	56	0	0	0	55	2	0	0
TCGA-D3-A3BZ-06	3	0	0	0	25	9	11	1	9	4	19
TCGA-D3-A3C1-06	51	64	0	26	1	6	20	25	2	4	0
TCGA-D3-A3C3-06	96	140	4	40	0	4	24	21	11	0	0
TCGA-D3-A3C6-06	72	47	11	8	0	0	0	17	0	0	0
TCGA-D3-A3C7-06	552	401	0	185	0	0	4	120	2	0	6
TCGA-D3-A3C8-06	320	152	0	161	0	0	0	69	1	0	0
TCGA-D3-A3CB-06	134	79	0	65	0	2	0	37	0	0	0
TCGA-D3-A3CC-06	5	2	4	0	9	1	2	0	12	2	2
TCGA-D3-A3CE-06	13	1	0	1	12	0	10	1	0	2	0
TCGA-D3-A3CF-06	1	7	11	0	2	0	14	2	5	0	0
TCGA-D3-A3ML-06	543	318	0	255	0	0	12	140	0	0	0
TCGA-D3-A3MO-06	21	12	6	11	0	2	12	5	5	9	0
TCGA-D3-A3MR-06	502	383	0	164	0	0	4	118	6	0	0
TCGA-D3-A3MU-06	324	159	0	119	0	0	29	24	5	0	2
TCGA-D3-A3MV-06	298	204	0	145	0	0	4	84	0	0	0
TCGA-D3-A51E-06	119	131	0	45	0	0	9	57	0	7	0
TCGA-D3-A51F-06	58	78	1	16	0	4	0	7	1	0	0
TCGA-D3-A51G-06	575	654	0	223	0	0	29	209	0	0	0
TCGA-D3-A51H-06	16	10	0	10	2	0	2	0	0	0	0
TCGA-D3-A51J-06	251	227	0	74	0	0	3	54	4	0	0
TCGA-D3-A51K-06	1	3	4	0	0	11	0	0	4	4	5
TCGA-D3-A51N-06	33	40	0	16	15	0	10	4	1	0	0
TCGA-D3-A51R-06	426	267	0	166	0	0	5	104	0	0	0
TCGA-D3-A51T-06	639	570	0	246	0	0	1	158	0	0	0
TCGA-D3-A5GL-06	225	172	0	60	0	0	36	53	1	24	6
