Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
TCGA-3N-A9WB-06	92	50	0	33	0	1	7	31	5	2	0	0
TCGA-3N-A9WC-06	993	879	0	478	0	0	5	208	24	0	0	0
TCGA-3N-A9WD-06	539	373	0	211	0	0	27	88	11	5	0	7
TCGA-BF-A1PU-01	34	40	11	2	0	0	8	17	0	0	0	0
TCGA-BF-A1PV-01	170	116	0	44	0	0	10	45	0	1	5	0
TCGA-BF-A1PX-01	200	177	0	38	0	0	0	38	0	0	4	0
TCGA-BF-A1PZ-01	119	147	10	18	7	0	6	25	0	0	1	0
TCGA-BF-A1Q0-01	348	289	1	157	0	0	9	102	22	5	0	21
TCGA-BF-A3DJ-01	79	46	9	30	0	0	8	26	0	0	0	0
TCGA-BF-A3DL-01	237	168	5	117	0	0	4	64	7	3	0	1
TCGA-BF-A3DM-01	232	233	0	99	0	0	23	63	0	0	0	0
TCGA-BF-A3DN-01	36	26	1	18	0	0	0	11	4	0	13	0
TCGA-BF-A5EO-01	329	248	0	156	0	0	31	89	5	0	0	1
TCGA-BF-A5EP-01	66	77	4	22	13	8	12	9	2	3	1	7
TCGA-BF-A5EQ-01	326	276	2	123	0	0	3	77	0	2	0	0
TCGA-BF-A5ER-01	99	90	11	32	0	2	9	31	0	0	0	2
TCGA-BF-A5ES-01	256	255	2	95	0	0	32	64	9	1	0	0
TCGA-BF-A9VF-01	43	50	0	14	0	3	7	4	1	0	3	0
TCGA-BF-AAOU-01	188	132	8	40	0	0	16	61	4	3	0	0
TCGA-BF-AAOX-01	658	543	0	246	14	0	19	205	30	0	0	0
TCGA-BF-AAP0-06	241	202	0	89	19	0	6	82	0	3	0	0
TCGA-BF-AAP1-01	459	329	0	220	0	0	21	163	27	0	0	0
TCGA-BF-AAP2-01	766	686	0	211	0	0	0	170	0	0	0	0
TCGA-BF-AAP4-01	427	421	0	125	29	0	2	112	0	4	0	4
TCGA-BF-AAP6-01	17	27	2	8	0	0	13	20	3	0	1	0
TCGA-BF-AAP7-01	197	211	0	67	39	0	11	79	0	2	11	1
TCGA-BF-AAP8-01	0	1	0	0	0	3	2	0	3	1	4	0
TCGA-D3-A1Q1-06	1	3	0	1	12	17	2	3	22	2	4	0
TCGA-D3-A1Q3-06	1	0	1	3	0	0	9	4	0	4	23	5
TCGA-D3-A1Q4-06	173	95	10	48	0	3	10	19	9	1	3	0
TCGA-D3-A1Q5-06	192	201	21	26	0	0	0	52	0	0	0	0
TCGA-D3-A1Q6-06	388	463	0	157	0	0	19	84	29	3	0	0
TCGA-D3-A1Q7-06	50	45	0	11	3	0	6	16	0	0	0	0
TCGA-D3-A1Q8-06	111	121	0	37	0	0	14	31	0	7	3	0
TCGA-D3-A1Q9-06	1	3	5	3	2	1	6	3	4	4	6	4
TCGA-D3-A1QA-06	235	169	5	98	0	6	15	69	4	3	0	0
TCGA-D3-A1QB-06	189	183	0	62	0	0	30	51	4	1	0	1
TCGA-D3-A2J6-06	3	3	3	3	1	1	7	4	0	0	1	0
TCGA-D3-A2J7-06	172	177	0	74	0	0	4	46	2	0	0	0
TCGA-D3-A2J8-06	363	192	0	121	0	0	0	97	0	3	0	0
TCGA-D3-A2J9-06	33	31	2	6	1	5	8	9	0	0	0	0
TCGA-D3-A2JA-06	176	156	0	55	17	6	9	49	22	0	3	1
TCGA-D3-A2JB-06	1	1	4	0	7	0	1	1	1	2	0	0
TCGA-D3-A2JC-06	97	96	4	22	0	7	0	42	0	0	8	0
TCGA-D3-A2JD-06	214	238	5	50	0	0	0	39	0	1	0	5
TCGA-D3-A2JE-06	178	157	0	52	0	6	7	37	8	2	0	15
TCGA-D3-A2JF-06	846	668	0	262	0	0	0	185	13	0	0	0
TCGA-D3-A2JG-06	54	50	1	21	0	1	6	11	0	0	1	3
TCGA-D3-A2JH-06	284	304	0	118	0	0	21	108	14	0	4	0
TCGA-D3-A2JK-06	146	137	13	51	14	0	17	28	0	1	0	0
TCGA-D3-A2JL-06	162	135	0	75	0	2	27	32	0	0	6	1
TCGA-D3-A2JN-06	148	151	0	75	0	8	3	35	13	4	5	4
TCGA-D3-A2JO-06	365	186	0	101	21	0	24	68	35	12	26	3
TCGA-D3-A2JP-06	119	129	4	52	0	0	0	53	0	2	0	0
TCGA-D3-A3BZ-06	3	1	0	1	0	10	10	1	24	9	4	18
TCGA-D3-A3C1-06	47	58	2	24	0	6	20	24	12	1	5	0
TCGA-D3-A3C3-06	90	135	14	39	0	3	27	19	2	11	0	0
TCGA-D3-A3C6-06	66	51	15	8	0	0	0	14	0	0	0	1
TCGA-D3-A3C7-06	522	427	0	171	9	0	10	108	6	3	0	14
TCGA-D3-A3C8-06	309	181	0	147	0	0	0	64	0	2	0	0
TCGA-D3-A3CB-06	129	89	0	60	0	2	0	36	0	1	0	0
TCGA-D3-A3CC-06	5	2	2	0	9	1	3	0	3	10	2	2
TCGA-D3-A3CE-06	12	3	0	1	0	0	10	1	11	0	2	0
TCGA-D3-A3CF-06	1	6	10	0	0	0	14	2	4	5	0	0
TCGA-D3-A3ML-06	518	353	0	233	0	0	19	131	2	0	12	0
TCGA-D3-A3MO-06	20	13	7	10	0	3	11	4	1	5	9	0
