Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
TCGA-3N-A9WB-06	83	51	4	0	33	3	6	32	2	0	6	1	0
TCGA-3N-A9WC-06	923	856	80	0	457	1	10	216	0	0	21	4	19
TCGA-3N-A9WD-06	496	372	35	0	206	0	27	93	6	2	13	11	0
TCGA-BF-A1PU-01	32	40	0	11	4	0	8	17	0	0	0	0	0
TCGA-BF-A1PV-01	158	118	0	0	46	0	12	47	1	8	1	0	0
TCGA-BF-A1PX-01	188	176	0	0	42	0	0	40	0	7	4	0	0
TCGA-BF-A1PZ-01	109	136	11	8	20	0	5	24	0	0	0	0	20
TCGA-BF-A1Q0-01	321	287	0	7	153	4	11	104	6	1	36	24	0
TCGA-BF-A3DJ-01	71	47	5	9	30	0	8	27	0	0	1	0	0
TCGA-BF-A3DL-01	221	169	0	9	113	2	4	66	3	0	16	3	0
TCGA-BF-A3DM-01	213	225	29	0	95	0	22	64	0	0	0	2	0
TCGA-BF-A3DN-01	33	27	0	2	17	0	0	11	0	13	6	0	0
TCGA-BF-A5EO-01	305	244	31	0	149	0	31	91	0	2	2	4	0
TCGA-BF-A5EP-01	60	71	14	3	21	8	11	9	3	0	0	7	17
TCGA-BF-A5EQ-01	305	277	5	7	123	5	3	80	3	1	0	0	0
TCGA-BF-A5ER-01	92	90	0	12	33	5	9	32	0	0	0	3	0
TCGA-BF-A5ES-01	239	247	24	3	94	3	30	65	1	0	8	0	0
TCGA-BF-A9VF-01	40	49	0	0	14	3	7	4	0	4	4	0	0
TCGA-BF-AAOU-01	173	130	17	7	43	0	15	61	3	0	1	2	0
TCGA-BF-AAOX-01	603	519	87	0	238	7	13	204	1	0	7	1	35
TCGA-BF-AAP0-06	223	194	24	0	87	0	6	80	2	0	0	0	26
TCGA-BF-AAP1-01	426	326	50	1	211	2	21	166	0	0	16	0	0
TCGA-BF-AAP2-01	729	693	0	0	224	0	0	181	0	0	6	0	0
TCGA-BF-AAP4-01	391	399	63	0	124	0	1	111	3	0	0	6	26
TCGA-BF-AAP6-01	16	27	0	2	8	2	11	19	0	1	5	0	0
TCGA-BF-AAP7-01	180	193	42	0	64	3	6	75	1	6	0	2	46
TCGA-BF-AAP8-01	0	1	0	0	0	3	2	0	1	4	3	0	0
TCGA-D3-A1Q1-06	1	4	13	0	1	15	4	4	2	5	17	1	0
TCGA-D3-A1Q3-06	1	0	0	1	3	0	8	4	4	24	0	5	0
TCGA-D3-A1Q4-06	156	97	3	12	50	5	9	21	1	4	12	1	0
TCGA-D3-A1Q5-06	179	197	2	23	32	1	0	53	0	0	5	0	0
TCGA-D3-A1Q6-06	356	425	48	0	148	0	16	80	3	0	9	0	58
TCGA-D3-A1Q7-06	45	43	9	0	12	1	5	16	0	0	0	0	0
TCGA-D3-A1Q8-06	102	110	6	0	36	0	13	29	7	1	0	0	20
TCGA-D3-A1Q9-06	1	2	0	4	2	0	6	2	4	5	4	3	9
TCGA-D3-A1QA-06	216	165	1	7	95	9	13	69	3	0	9	0	17
TCGA-D3-A1QB-06	174	180	17	0	62	0	29	51	1	1	3	3	0
TCGA-D3-A2J6-06	3	2	2	3	3	1	6	3	0	1	0	0	2
TCGA-D3-A2J7-06	159	170	16	0	71	0	3	46	0	0	1	0	9
TCGA-D3-A2J8-06	340	202	0	0	123	0	0	101	3	0	7	0	0
TCGA-D3-A2J9-06	30	29	2	2	7	5	7	9	0	0	0	0	4
TCGA-D3-A2JA-06	160	145	42	0	54	10	6	48	0	1	11	2	15
TCGA-D3-A2JB-06	1	1	6	4	0	0	1	1	2	0	2	0	0
TCGA-D3-A2JC-06	91	93	2	6	24	9	0	42	0	8	1	0	0
TCGA-D3-A2JD-06	202	234	0	10	54	0	0	41	1	0	3	7	0
TCGA-D3-A2JE-06	166	156	0	0	54	8	6	39	2	0	15	16	0
TCGA-D3-A2JF-06	787	665	20	0	267	5	0	193	0	0	37	0	0
TCGA-D3-A2JG-06	50	52	0	2	21	2	6	11	0	1	0	3	0
TCGA-D3-A2JH-06	264	294	22	0	116	8	17	108	1	5	18	0	0
TCGA-D3-A2JK-06	134	128	20	10	49	1	14	27	1	0	0	0	23
TCGA-D3-A2JL-06	153	136	0	0	73	6	25	33	0	7	3	3	1
TCGA-D3-A2JN-06	138	147	7	3	72	10	3	37	4	6	14	5	0
TCGA-D3-A2JO-06	335	188	49	0	103	0	23	71	12	28	26	5	1
TCGA-D3-A2JP-06	112	129	3	6	52	0	0	54	2	0	1	0	0
TCGA-D3-A3BZ-06	3	1	0	0	1	9	10	1	8	4	26	18	0
TCGA-D3-A3C1-06	44	58	0	4	23	8	18	23	2	5	14	0	0
TCGA-D3-A3C3-06	85	131	0	16	39	6	24	19	11	0	9	0	0
TCGA-D3-A3C6-06	60	51	0	15	10	0	0	15	0	0	2	2	0
TCGA-D3-A3C7-06	479	415	63	0	170	0	12	112	3	0	0	16	0
TCGA-D3-A3C8-06	288	187	0	6	143	0	0	69	2	0	7	1	0
TCGA-D3-A3CB-06	119	89	9	0	58	4	0	37	1	0	0	0	0
TCGA-D3-A3CC-06	4	1	8	1	1	1	2	0	11	1	3	2	4
TCGA-D3-A3CE-06	11	3	0	0	2	0	9	0	0	2	12	0	1
TCGA-D3-A3CF-06	1	5	0	9	0	0	13	2	4	0	5	0	3
TCGA-D3-A3ML-06	478	353	43	0	224	0	20	135	0	15	0	0	0
TCGA-D3-A3MO-06	18	14	0	7	10	3	10	4	4	9	4	0	0
TCGA-D3-A3MR-06	440	393	46	0	155	0	14	109	6	0	5	6	3
TCGA-D3-A3MU-06	274	179	3	15	105	0	30	21	5	0	24	5	1
TCGA-D3-A3MV-06	271	223	17	0	130	0	10	84	0	0	0	0	0
TCGA-D3-A51E-06	102	122	31	1	40	0	9	53	0	9	0	1	0
TCGA-D3-A51F-06	51	72	7	6	16	5	0	7	1	0	0	0	0
TCGA-D3-A51G-06	519	634	60	0	208	0	45	200	0	18	0	0	6
TCGA-D3-A51H-06	14	9	2	0	7	0	2	0	0	0	1	0	5
TCGA-D3-A51J-06	216	215	30	0	69	0	5	46	3	0	0	0	29
TCGA-D3-A51K-06	1	2	4	2	0	9	0	0	4	3	0	4	3
TCGA-D3-A51N-06	27	30	3	0	12	0	9	1	1	0	12	0	24
TCGA-D3-A51R-06	371	283	48	0	148	1	10	99	0	0	8	0	0
TCGA-D3-A51T-06	575	583	44	4	229	1	14	152	0	0	3	9	0
TCGA-D3-A5GL-06	189	174	34	0	57	0	36	48	1	29	0	9	0
TCGA-D3-A5GN-06	295	205	0	19	89	7	8	39	0	0	7	0	0
TCGA-D3-A5GO-06	877	659	20	0	361	5	15	197	0	3	39	0	0
TCGA-D3-A5GR-06	119	95	30	0	49	4	8	13	1	6	11	0	16
TCGA-D3-A5GS-06	204	216	8	0	88	0	6	27	0	0	3	0	4
TCGA-D3-A5GT-01	0	0	2	2	1	4	8	2	0	2	4	1	0
TCGA-D3-A5GU-06	282	396	54	0	134	14	7	61	5	0	13	4	49
