Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
TCGA-3N-A9WB-06	78	49	0	33	0	4	5	33	2	0	2	14	0	1
TCGA-3N-A9WC-06	865	803	0	449	0	5	0	232	0	0	0	233	0	0
TCGA-3N-A9WD-06	471	355	0	205	0	2	17	101	6	3	9	71	12	9
TCGA-BF-A1PU-01	31	41	3	4	9	0	7	17	0	0	0	0	0	0
TCGA-BF-A1PV-01	152	114	0	47	0	0	8	48	1	9	0	11	1	0
TCGA-BF-A1PX-01	181	168	0	43	0	0	0	41	0	8	0	0	16	0
TCGA-BF-A1PZ-01	100	124	0	21	9	2	3	26	0	0	0	48	0	0
TCGA-BF-A1Q0-01	309	282	12	154	4	5	10	109	6	12	26	0	0	25
TCGA-BF-A3DJ-01	66	42	0	28	7	0	5	27	0	0	0	23	0	0
TCGA-BF-A3DL-01	204	157	0	110	8	3	2	68	4	0	1	47	0	2
TCGA-BF-A3DM-01	202	213	0	95	0	0	17	68	1	0	0	53	0	1
TCGA-BF-A3DN-01	32	26	0	18	2	0	1	11	0	14	5	0	0	0
TCGA-BF-A5EO-01	283	229	0	146	0	3	18	95	0	0	0	83	0	2
TCGA-BF-A5EP-01	56	67	1	21	5	8	9	11	3	0	1	36	0	6
TCGA-BF-A5EQ-01	289	264	0	122	7	5	3	84	3	5	0	27	0	0
TCGA-BF-A5ER-01	85	82	0	32	10	5	5	32	0	0	0	23	0	2
TCGA-BF-A5ES-01	227	238	6	95	6	5	22	69	1	0	8	37	0	0
TCGA-BF-A9VF-01	37	45	0	14	0	3	6	5	0	3	0	12	0	0
TCGA-BF-AAOU-01	158	121	0	43	8	0	11	62	4	0	0	44	0	1
TCGA-BF-AAOX-01	554	475	0	231	0	12	0	208	2	0	0	233	0	0
TCGA-BF-AAP0-06	202	174	0	83	0	0	0	81	3	0	0	90	9	0
TCGA-BF-AAP1-01	402	316	0	210	10	5	12	172	0	0	19	73	0	0
TCGA-BF-AAP2-01	693	665	0	229	0	0	0	191	0	6	0	49	0	0
TCGA-BF-AAP4-01	368	375	0	124	0	3	0	116	4	0	0	119	11	4
TCGA-BF-AAP6-01	16	26	0	8	3	2	9	19	0	2	6	0	0	0
TCGA-BF-AAP7-01	167	179	0	64	0	7	1	79	2	0	0	119	0	0
TCGA-BF-AAP8-01	0	1	1	0	0	3	2	0	1	4	2	0	0	0
TCGA-D3-A1Q1-06	1	4	12	1	0	13	5	3	2	6	19	0	0	1
TCGA-D3-A1Q3-06	1	1	0	3	1	0	7	4	4	22	0	2	0	5
TCGA-D3-A1Q4-06	148	92	0	50	11	5	7	24	2	3	7	22	0	0
TCGA-D3-A1Q5-06	172	192	3	34	21	2	0	55	0	0	5	8	0	0
TCGA-D3-A1Q6-06	335	405	0	147	0	0	9	90	4	0	10	139	4	0
TCGA-D3-A1Q7-06	44	39	0	11	0	1	3	16	0	0	0	14	3	0
TCGA-D3-A1Q8-06	95	102	0	34	0	0	8	29	6	0	0	22	28	0
TCGA-D3-A1Q9-06	1	2	1	2	4	1	5	3	4	5	5	1	5	3
TCGA-D3-A1QA-06	203	156	0	91	4	9	8	70	3	0	2	14	44	0
TCGA-D3-A1QB-06	165	168	0	63	1	0	23	54	2	0	3	36	3	3
TCGA-D3-A2J6-06	3	2	0	3	3	1	4	3	0	0	0	7	0	0
TCGA-D3-A2J7-06	149	158	0	69	0	0	1	48	0	0	0	50	0	0
TCGA-D3-A2J8-06	321	194	0	122	0	0	0	105	3	0	0	31	0	0
TCGA-D3-A2J9-06	27	27	0	6	2	5	5	9	0	0	0	8	6	0
TCGA-D3-A2JA-06	147	136	2	54	2	10	3	51	0	0	14	74	0	1
TCGA-D3-A2JB-06	1	1	8	0	2	0	1	1	2	0	1	0	1	0
TCGA-D3-A2JC-06	85	88	0	24	6	8	0	41	0	7	0	17	0	0
TCGA-D3-A2JD-06	195	226	0	55	7	0	0	44	1	0	3	0	13	8
TCGA-D3-A2JE-06	158	152	0	55	1	8	7	41	2	4	16	1	0	17
TCGA-D3-A2JF-06	755	651	0	275	0	8	0	207	0	0	40	38	0	0
TCGA-D3-A2JG-06	47	47	6	21	0	2	6	12	0	3	0	0	0	4
TCGA-D3-A2JH-06	248	273	0	114	1	9	13	110	1	1	4	79	0	0
TCGA-D3-A2JK-06	122	118	0	49	13	3	9	30	2	0	0	61	0	0
TCGA-D3-A2JL-06	142	126	0	70	0	6	19	34	0	5	0	12	24	2
TCGA-D3-A2JN-06	129	137	0	71	3	9	3	39	4	4	7	36	0	4
TCGA-D3-A2JO-06	310	174	0	102	1	3	14	75	12	16	20	112	0	2
TCGA-D3-A2JP-06	105	120	0	50	5	0	0	54	2	0	0	23	0	0
TCGA-D3-A3BZ-06	3	2	0	2	0	8	10	1	8	5	24	0	0	18
TCGA-D3-A3C1-06	42	57	0	23	4	7	16	23	1	6	14	0	6	0
TCGA-D3-A3C3-06	83	125	1	38	11	6	20	20	10	0	8	0	17	1
TCGA-D3-A3C6-06	58	48	0	10	13	0	0	16	0	0	0	9	0	1
TCGA-D3-A3C7-06	450	389	0	169	0	0	6	118	4	0	0	121	0	13
TCGA-D3-A3C8-06	276	186	0	144	8	0	0	75	2	4	6	0	0	2
TCGA-D3-A3CB-06	111	83	0	56	0	4	0	38	1	0	0	24	0	0
TCGA-D3-A3CC-06	4	1	8	1	0	1	2	0	9	1	3	1	6	2
TCGA-D3-A3CE-06	10	3	0	2	0	0	8	1	0	1	8	6	1	0
TCGA-D3-A3CF-06	1	4	0	0	8	1	9	2	4	0	4	6	3	0
TCGA-D3-A3ML-06	443	324	0	217	0	0	11	139	0	6	0	128	0	0
TCGA-D3-A3MO-06	17	13	0	10	8	3	9	5	4	8	1	5	0	0
TCGA-D3-A3MR-06	416	370	0	151	0	0	6	111	6	0	4	53	56	4
TCGA-D3-A3MU-06	259	173	0	106	11	0	23	27	5	0	19	27	7	5
TCGA-D3-A3MV-06	248	203	0	125	0	2	4	85	0	0	0	68	0	0
TCGA-D3-A51E-06	93	109	0	38	3	1	6	52	0	3	0	63	0	0
TCGA-D3-A51F-06	47	66	0	15	6	4	0	7	1	0	0	19	0	0
TCGA-D3-A51G-06	485	585	0	204	0	0	30	203	0	8	0	165	10	0
TCGA-D3-A51H-06	14	8	0	7	0	0	1	0	0	0	1	5	4	0
TCGA-D3-A51J-06	205	206	0	70	0	2	2	50	4	0	1	55	18	0
TCGA-D3-A51K-06	1	2	3	0	2	8	0	0	4	4	0	1	3	4
TCGA-D3-A51N-06	24	26	0	10	0	0	7	2	1	0	7	17	25	0
TCGA-D3-A51R-06	350	275	15	149	0	3	6	105	0	2	13	50	0	0
TCGA-D3-A51T-06	539	547	0	226	8	3	6	159	0	0	0	120	0	6
TCGA-D3-A5GL-06	181	165	4	58	0	0	29	51	1	25	0	55	0	8
TCGA-D3-A5GN-06	280	198	1	91	15	7	7	44	0	0	2	24	0	0
TCGA-D3-A5GO-06	830	636	0	362	0	7	8	212	0	10	23	88	0	0
TCGA-D3-A5GR-06	114	91	14	49	0	5	5	17	2	5	11	36	3	0
TCGA-D3-A5GS-06	194	209	0	89	0	0	3	31	0	0	4	23	3	0
TCGA-D3-A5GT-01	0	0	5	1	1	4	7	2	0	2	2	1	0	1
TCGA-D3-A5GU-06	268	375	11	134	7	17	4	69	6	0	14	101	8	5
TCGA-D3-A8GB-06	461	560	0	210	7	2	1	155	6	0	0	61	0	1
TCGA-D3-A8GC-06	430	416	10	164	0	7	0	93	0	18	21	0	0	0
