Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
TCGA-3N-A9WB-06	76	41	0	0	30	39	5	3	1	0	25	0	0	1	0
TCGA-3N-A9WC-06	824	709	0	0	407	274	8	0	0	0	166	0	183	0	16
TCGA-3N-A9WD-06	454	313	0	0	189	129	5	9	0	0	116	0	35	9	2
TCGA-BF-A1PU-01	31	38	0	10	4	20	0	6	0	0	0	0	3	0	0
TCGA-BF-A1PV-01	142	97	0	0	42	57	0	5	0	2	41	0	0	0	5
TCGA-BF-A1PX-01	170	149	0	0	39	53	0	0	0	1	45	0	0	0	0
TCGA-BF-A1PZ-01	97	117	0	7	19	33	3	0	0	0	0	0	57	0	0
TCGA-BF-A1Q0-01	302	260	0	3	144	134	8	5	2	1	58	9	0	25	3
TCGA-BF-A3DJ-01	64	38	0	7	26	33	0	4	0	0	0	0	26	0	0
TCGA-BF-A3DL-01	202	148	0	4	103	79	4	1	0	0	7	0	41	3	14
TCGA-BF-A3DM-01	196	200	0	0	87	84	0	12	0	0	0	0	68	3	0
TCGA-BF-A3DN-01	33	25	0	1	16	13	1	0	0	12	2	4	0	0	2
TCGA-BF-A5EO-01	266	189	0	0	129	113	5	11	0	0	105	0	39	2	0
TCGA-BF-A5EP-01	55	63	0	4	20	14	8	8	2	0	0	0	44	6	0
TCGA-BF-A5EQ-01	280	250	0	3	113	102	7	0	0	0	0	0	43	2	9
TCGA-BF-A5ER-01	84	78	0	9	29	41	6	3	0	0	10	0	13	3	0
TCGA-BF-A5ES-01	212	197	0	1	84	82	6	14	0	0	118	0	0	0	0
TCGA-BF-A9VF-01	37	46	0	0	13	7	3	5	0	2	0	0	11	0	1
TCGA-BF-AAOU-01	156	113	0	6	39	77	2	7	2	0	0	0	47	3	0
TCGA-BF-AAOX-01	529	414	0	0	208	247	17	0	0	0	99	0	194	0	7
TCGA-BF-AAP0-06	197	160	0	0	76	99	2	0	0	0	21	0	80	0	7
TCGA-BF-AAP1-01	377	250	0	0	184	200	10	2	0	0	178	0	18	0	0
TCGA-BF-AAP2-01	662	606	0	0	209	231	0	0	0	0	56	0	68	0	1
TCGA-BF-AAP4-01	354	342	0	0	113	142	5	0	0	0	37	0	117	5	9
TCGA-BF-AAP6-01	14	20	0	1	7	22	2	7	0	0	16	0	0	0	2
TCGA-BF-AAP7-01	160	156	0	0	56	92	8	0	0	0	37	0	102	1	6
TCGA-BF-AAP8-01	0	0	1	0	0	0	3	2	1	4	2	1	0	0	0
