Samples	SBS96A
TCGA-3N-A9WB-06	221
TCGA-3N-A9WC-06	2587
TCGA-3N-A9WD-06	1261
TCGA-BF-A1PU-01	112
TCGA-BF-A1PV-01	391
TCGA-BF-A1PX-01	457
TCGA-BF-A1PZ-01	333
TCGA-BF-A1Q0-01	954
TCGA-BF-A3DJ-01	198
TCGA-BF-A3DL-01	606
TCGA-BF-A3DM-01	650
TCGA-BF-A3DN-01	109
TCGA-BF-A5EO-01	859
TCGA-BF-A5EP-01	224
TCGA-BF-A5EQ-01	809
TCGA-BF-A5ER-01	276
TCGA-BF-A5ES-01	714
TCGA-BF-A9VF-01	125
TCGA-BF-AAOU-01	452
TCGA-BF-AAOX-01	1715
TCGA-BF-AAP0-06	642
TCGA-BF-AAP1-01	1219
TCGA-BF-AAP2-01	1833
TCGA-BF-AAP4-01	1124
TCGA-BF-AAP6-01	91
TCGA-BF-AAP7-01	618
TCGA-BF-AAP8-01	14
TCGA-D3-A1Q1-06	67
TCGA-D3-A1Q3-06	50
TCGA-D3-A1Q4-06	371
TCGA-D3-A1Q5-06	492
TCGA-D3-A1Q6-06	1143
TCGA-D3-A1Q7-06	131
TCGA-D3-A1Q8-06	324
TCGA-D3-A1Q9-06	42
TCGA-D3-A1QA-06	604
TCGA-D3-A1QB-06	521
TCGA-D3-A2J6-06	26
TCGA-D3-A2J7-06	475
TCGA-D3-A2J8-06	776
TCGA-D3-A2J9-06	95
TCGA-D3-A2JA-06	494
TCGA-D3-A2JB-06	18
TCGA-D3-A2JC-06	276
TCGA-D3-A2JD-06	552
TCGA-D3-A2JE-06	462
TCGA-D3-A2JF-06	1974
TCGA-D3-A2JG-06	148
TCGA-D3-A2JH-06	853
TCGA-D3-A2JK-06	407
TCGA-D3-A2JL-06	440
TCGA-D3-A2JN-06	446
TCGA-D3-A2JO-06	841
TCGA-D3-A2JP-06	359
TCGA-D3-A3BZ-06	81
TCGA-D3-A3C1-06	199
TCGA-D3-A3C3-06	340
TCGA-D3-A3C6-06	155
TCGA-D3-A3C7-06	1270
TCGA-D3-A3C8-06	703
TCGA-D3-A3CB-06	317
TCGA-D3-A3CC-06	39
TCGA-D3-A3CE-06	40
TCGA-D3-A3CF-06	42
TCGA-D3-A3ML-06	1268
TCGA-D3-A3MO-06	83
TCGA-D3-A3MR-06	1177
TCGA-D3-A3MU-06	662
TCGA-D3-A3MV-06	735
TCGA-D3-A51E-06	368
TCGA-D3-A51F-06	165
TCGA-D3-A51G-06	1690
TCGA-D3-A51H-06	40
TCGA-D3-A51J-06	613
TCGA-D3-A51K-06	32
TCGA-D3-A51N-06	119
TCGA-D3-A51R-06	968
TCGA-D3-A51T-06	1614
TCGA-D3-A5GL-06	577
