Samples	SBS96A	SBS96B
TCGA-3N-A9WB-06	17	204
TCGA-3N-A9WC-06	40	2547
TCGA-3N-A9WD-06	6	1255
TCGA-BF-A1PU-01	24	88
TCGA-BF-A1PV-01	0	391
TCGA-BF-A1PX-01	0	457
TCGA-BF-A1PZ-01	25	308
TCGA-BF-A1Q0-01	74	880
TCGA-BF-A3DJ-01	16	182
TCGA-BF-A3DL-01	29	577
TCGA-BF-A3DM-01	35	615
TCGA-BF-A3DN-01	14	95
TCGA-BF-A5EO-01	51	808
TCGA-BF-A5EP-01	55	169
TCGA-BF-A5EQ-01	20	789
TCGA-BF-A5ER-01	32	244
TCGA-BF-A5ES-01	65	649
TCGA-BF-A9VF-01	18	107
TCGA-BF-AAOU-01	26	426
TCGA-BF-AAOX-01	75	1640
TCGA-BF-AAP0-06	23	619
TCGA-BF-AAP1-01	73	1146
TCGA-BF-AAP2-01	0	1833
TCGA-BF-AAP4-01	34	1090
TCGA-BF-AAP6-01	34	57
TCGA-BF-AAP7-01	72	546
TCGA-BF-AAP8-01	14	0
TCGA-D3-A1Q1-06	62	5
TCGA-D3-A1Q3-06	42	8
TCGA-D3-A1Q4-06	7	364
TCGA-D3-A1Q5-06	18	474
TCGA-D3-A1Q6-06	60	1083
TCGA-D3-A1Q7-06	9	122
TCGA-D3-A1Q8-06	35	289
TCGA-D3-A1Q9-06	35	7
TCGA-D3-A1QA-06	48	556
TCGA-D3-A1QB-06	50	471
TCGA-D3-A2J6-06	16	10
TCGA-D3-A2J7-06	10	465
TCGA-D3-A2J8-06	0	776
TCGA-D3-A2J9-06	22	73
TCGA-D3-A2JA-06	56	438
TCGA-D3-A2JB-06	14	4
TCGA-D3-A2JC-06	35	241
TCGA-D3-A2JD-06	0	552
TCGA-D3-A2JE-06	31	431
TCGA-D3-A2JF-06	0	1974
TCGA-D3-A2JG-06	17	131
TCGA-D3-A2JH-06	93	760
TCGA-D3-A2JK-06	42	365
TCGA-D3-A2JL-06	45	395
TCGA-D3-A2JN-06	54	392
TCGA-D3-A2JO-06	30	811
TCGA-D3-A2JP-06	30	329
TCGA-D3-A3BZ-06	74	7
TCGA-D3-A3C1-06	66	133
TCGA-D3-A3C3-06	87	253
TCGA-D3-A3C6-06	0	155
TCGA-D3-A3C7-06	0	1270
TCGA-D3-A3C8-06	0	703
TCGA-D3-A3CB-06	8	309
TCGA-D3-A3CC-06	29	10
TCGA-D3-A3CE-06	14	26
TCGA-D3-A3CF-06	36	6
TCGA-D3-A3ML-06	15	1253
TCGA-D3-A3MO-06	38	45
TCGA-D3-A3MR-06	1	1176
TCGA-D3-A3MU-06	7	655
TCGA-D3-A3MV-06	20	715
TCGA-D3-A51E-06	57	311
TCGA-D3-A51F-06	19	146
TCGA-D3-A51G-06	152	1538
TCGA-D3-A51H-06	1	39
TCGA-D3-A51J-06	17	596
TCGA-D3-A51K-06	30	2
TCGA-D3-A51N-06	27	92
TCGA-D3-A51R-06	11	957
TCGA-D3-A51T-06	42	1572
TCGA-D3-A5GL-06	72	505
TCGA-D3-A5GN-06	0	669
TCGA-D3-A5GO-06	0	2176
TCGA-D3-A5GR-06	32	320
TCGA-D3-A5GS-06	0	556
TCGA-D3-A5GT-01	25	1
TCGA-D3-A5GU-06	131	888
TCGA-D3-A8GB-06	62	1402
TCGA-D3-A8GC-06	0	1159
TCGA-D3-A8GD-06	58	74
TCGA-D3-A8GE-06	8	0
TCGA-D3-A8GI-06	0	7232
TCGA-D3-A8GJ-06	14	258
TCGA-D3-A8GK-06	8	790
TCGA-D3-A8GL-06	0	2563
TCGA-D3-A8GM-06	1061	4183
TCGA-D3-A8GN-06	17	324
TCGA-D3-A8GO-06	12	788
TCGA-D3-A8GP-06	70	714
TCGA-D3-A8GQ-06	0	1981
TCGA-D3-A8GR-06	32	487
TCGA-D3-A8GS-06	34	259
TCGA-D3-A8GV-06	45	514
TCGA-D9-A148-06	65	321
TCGA-D9-A149-06	32	286
TCGA-D9-A1JW-06	0	1256
TCGA-D9-A1JX-06	34	217
TCGA-D9-A1X3-06	37	11
TCGA-D9-A3Z1-06	25	655
TCGA-D9-A3Z3-06	13	171
TCGA-D9-A3Z4-01	38	169
TCGA-D9-A4Z2-01	27	4
TCGA-D9-A4Z3-01	18	1060
TCGA-D9-A4Z5-01	72	16
TCGA-D9-A4Z6-06	0	369
TCGA-D9-A6E9-06	28	218
TCGA-D9-A6EA-06	23	866
TCGA-D9-A6EC-06	850	4918
TCGA-D9-A6EG-06	44	60
TCGA-DA-A1HV-06	0	1870
TCGA-DA-A1HW-06	39	413
TCGA-DA-A1HY-06	0	998
TCGA-DA-A1I0-06	51	635
TCGA-DA-A1I1-06	24	507
TCGA-DA-A1I2-06	28	151
TCGA-DA-A1I4-06	27	335
TCGA-DA-A1I5-06	0	589
TCGA-DA-A1I7-06	91	518
TCGA-DA-A1I8-06	47	205
TCGA-DA-A1IA-06	81	403
TCGA-DA-A1IB-06	8	0
TCGA-DA-A1IC-06	157	1205
TCGA-DA-A3F3-06	39	353
TCGA-DA-A3F5-06	94	363
TCGA-DA-A3F8-06	0	1644
TCGA-DA-A95V-06	66	306
TCGA-DA-A95W-06	16	200
TCGA-DA-A95X-06	58	626
TCGA-DA-A95Y-06	31	530
TCGA-DA-A95Z-06	144	2512
TCGA-DA-A960-01	70	1117
TCGA-EB-A1NK-01	30	166
TCGA-EB-A24C-01	31	4
TCGA-EB-A24D-01	56	759
TCGA-EB-A299-01	7	200
TCGA-EB-A3HV-01	24	39
TCGA-EB-A3XB-01	44	652
TCGA-EB-A3XC-01	53	515
TCGA-EB-A3XD-01	11	509
TCGA-EB-A3XE-01	11	11
TCGA-EB-A3XF-01	0	536
TCGA-EB-A3Y6-01	106	735
TCGA-EB-A3Y7-01	97	1421
TCGA-EB-A41A-01	0	2620
TCGA-EB-A41B-01	0	555
TCGA-EB-A42Y-01	53	28
TCGA-EB-A42Z-01	40	117
TCGA-EB-A430-01	35	494
TCGA-EB-A431-01	0	2397
TCGA-EB-A44N-01	21	187
TCGA-EB-A44O-01	64	628
TCGA-EB-A44P-01	18	460
TCGA-EB-A44Q-06	38	19
TCGA-EB-A44R-06	66	5
TCGA-EB-A4IQ-01	16	6
TCGA-EB-A4IS-01	29	744
TCGA-EB-A4OY-01	66	6
TCGA-EB-A4OZ-01	13	3
TCGA-EB-A4P0-01	43	215
TCGA-EB-A4XL-01	25	641
TCGA-EB-A51B-01	33	534
TCGA-EB-A550-01	32	171
TCGA-EB-A551-01	49	425
TCGA-EB-A553-01	98	337
TCGA-EB-A57M-01	56	3
TCGA-EB-A5FP-01	32	525
TCGA-EB-A5KH-06	49	5
TCGA-EB-A5SE-01	29	369
TCGA-EB-A5SF-01	18	24
TCGA-EB-A5SG-06	0	369
TCGA-EB-A5SH-06	94	28
TCGA-EB-A5UL-06	85	547
TCGA-EB-A5UM-01	50	702
TCGA-EB-A5UN-06	76	922
TCGA-EB-A5VU-01	49	16
TCGA-EB-A6L9-06	25	3
TCGA-EB-A6QY-01	39	833
TCGA-EB-A6QZ-01	37	350
TCGA-EB-A6R0-01	62	466
TCGA-EB-A82B-01	56	9
TCGA-EB-A82C-01	29	19
TCGA-EB-A85I-01	47	259
TCGA-EB-A85J-01	0	564
TCGA-EB-A97M-01	33	396
TCGA-EE-A17X-06	49	1041
TCGA-EE-A17Y-06	24	208
TCGA-EE-A17Z-06	25	1
TCGA-EE-A180-06	73	652
TCGA-EE-A181-06	0	4004
TCGA-EE-A182-06	24	2016
TCGA-EE-A183-06	27	989
TCGA-EE-A184-06	396	14
TCGA-EE-A185-06	35	233
TCGA-EE-A20B-06	6	238
TCGA-EE-A20C-06	169	2702
TCGA-EE-A20F-06	13	638
TCGA-EE-A20H-06	41	772
TCGA-EE-A20I-06	26	4
TCGA-EE-A29A-06	7	347
TCGA-EE-A29B-06	1	748
TCGA-EE-A29C-06	40	533
TCGA-EE-A29D-06	0	5244
TCGA-EE-A29E-06	0	4889
TCGA-EE-A29G-06	25	449
TCGA-EE-A29H-06	13	405
TCGA-EE-A29L-06	77	2683
TCGA-EE-A29M-06	0	3247
TCGA-EE-A29N-06	78	769
TCGA-EE-A29P-06	2	408
TCGA-EE-A29Q-06	47	362
TCGA-EE-A29R-06	15	919
TCGA-EE-A29S-06	38	1460
TCGA-EE-A29T-06	112	401
TCGA-EE-A29V-06	75	1337
TCGA-EE-A29W-06	26	67
TCGA-EE-A29X-06	7	198
TCGA-EE-A2A0-06	0	533
TCGA-EE-A2A1-06	21	508
TCGA-EE-A2A2-06	96	1978
TCGA-EE-A2A5-06	39	399
TCGA-EE-A2A6-06	38	379
TCGA-EE-A2GB-06	4	907
TCGA-EE-A2GC-06	42	3192
TCGA-EE-A2GD-06	8	736
TCGA-EE-A2GE-06	15	311
TCGA-EE-A2GH-06	23	403
TCGA-EE-A2GI-06	72	2070
TCGA-EE-A2GJ-06	29	1581
TCGA-EE-A2GK-06	4	0
TCGA-EE-A2GL-06	20	477
TCGA-EE-A2GM-06	36	938
TCGA-EE-A2GN-06	38	531
TCGA-EE-A2GO-06	60	2721
TCGA-EE-A2GP-06	23	841
TCGA-EE-A2GR-06	121	2094
TCGA-EE-A2GS-06	22	446
TCGA-EE-A2GT-06	39	423
TCGA-EE-A2GU-06	0	828
TCGA-EE-A2M5-06	124	2641
TCGA-EE-A2M6-06	33	713
TCGA-EE-A2M7-06	50	36
TCGA-EE-A2M8-06	19	132
TCGA-EE-A2MC-06	37	993
TCGA-EE-A2MD-06	29	2302
TCGA-EE-A2ME-06	9	33
TCGA-EE-A2MF-06	0	1032
TCGA-EE-A2MG-06	3	274
TCGA-EE-A2MH-06	27	174
TCGA-EE-A2MI-06	0	1488
TCGA-EE-A2MJ-06	0	2652
TCGA-EE-A2MK-06	16	388
TCGA-EE-A2ML-06	57	701
TCGA-EE-A2MM-06	20	741
TCGA-EE-A2MN-06	21	184
TCGA-EE-A2MP-06	51	342
TCGA-EE-A2MQ-06	52	313
TCGA-EE-A2MR-06	320	4741
TCGA-EE-A2MS-06	87	3895
TCGA-EE-A2MT-06	25	1234
TCGA-EE-A2MU-06	29	881
TCGA-EE-A3AA-06	0	2050
TCGA-EE-A3AB-06	217	692
TCGA-EE-A3AC-06	24	1361
TCGA-EE-A3AD-06	45	551
TCGA-EE-A3AE-06	0	2013
TCGA-EE-A3AF-06	74	1287
TCGA-EE-A3AG-06	11	2301
TCGA-EE-A3AH-06	0	508
TCGA-EE-A3J3-06	70	157
TCGA-EE-A3J4-06	93	325
TCGA-EE-A3J5-06	0	2940
TCGA-EE-A3J7-06	221	1129
TCGA-EE-A3J8-06	9	362
TCGA-EE-A3JA-06	0	1435
TCGA-EE-A3JB-06	107	752
TCGA-EE-A3JD-06	70	3032
TCGA-EE-A3JE-06	40	329
TCGA-EE-A3JH-06	49	196
TCGA-EE-A3JI-06	163	1373
TCGA-ER-A193-06	59	2560
TCGA-ER-A194-01	22	1844
TCGA-ER-A195-06	0	348
TCGA-ER-A196-01	23	2
TCGA-ER-A197-06	50	2
TCGA-ER-A198-06	66	586
TCGA-ER-A199-06	13	359
TCGA-ER-A19A-06	4	244
TCGA-ER-A19B-06	71	60
TCGA-ER-A19C-06	15	107
TCGA-ER-A19D-06	64	578
TCGA-ER-A19E-06	104	513
TCGA-ER-A19F-06	2	1311
TCGA-ER-A19G-06	57	641
TCGA-ER-A19H-06	50	323
TCGA-ER-A19J-06	16	275
TCGA-ER-A19K-01	0	502
TCGA-ER-A19L-06	6	68
TCGA-ER-A19M-06	37	640
TCGA-ER-A19N-06	10	652
TCGA-ER-A19O-06	11	233
TCGA-ER-A19P-06	301	339
TCGA-ER-A19Q-06	28	135
TCGA-ER-A19S-06	23	252
TCGA-ER-A19T-01	55	15
TCGA-ER-A19W-06	78	410
TCGA-ER-A1A1-06	0	94
TCGA-ER-A2NB-01	73	12
TCGA-ER-A2NC-06	17	535
TCGA-ER-A2ND-06	59	86
TCGA-ER-A2NE-06	26	153
TCGA-ER-A2NF-01	11	30
TCGA-ER-A2NG-06	20	327
TCGA-ER-A2NH-06	0	415
TCGA-ER-A3ES-06	27	2
TCGA-ER-A3ET-06	89	27
TCGA-ER-A3EV-06	84	15
TCGA-ER-A3PL-06	1	518
TCGA-ER-A42H-01	73	5
TCGA-ER-A42K-06	35	238
TCGA-ER-A42L-06	0	1301
TCGA-FR-A2OS-01	15	1
TCGA-FR-A3R1-01	40	549
TCGA-FR-A3YN-06	44	744
TCGA-FR-A3YO-06	22	1167
TCGA-FR-A44A-06	66	354
TCGA-FR-A69P-06	19	286
TCGA-FR-A726-01	0	10146
TCGA-FR-A728-01	11	529
TCGA-FR-A729-06	4	1200
TCGA-FR-A7U8-06	41	3
TCGA-FR-A7U9-06	13	2467
TCGA-FR-A7UA-06	0	241
TCGA-FR-A8YC-06	72	4028
TCGA-FR-A8YD-06	90	42
TCGA-FR-A8YE-06	0	471
TCGA-FS-A1YW-06	28	191
TCGA-FS-A1YX-06	19	11
TCGA-FS-A1YY-06	19	255
TCGA-FS-A1Z0-06	54	297
TCGA-FS-A1Z3-06	36	1354
TCGA-FS-A1Z4-06	7	46
TCGA-FS-A1Z7-06	17	233
TCGA-FS-A1ZA-06	81	1543
TCGA-FS-A1ZB-06	4	312
TCGA-FS-A1ZC-06	9	969
TCGA-FS-A1ZD-06	32	309
TCGA-FS-A1ZE-06	41	149
TCGA-FS-A1ZF-06	50	229
TCGA-FS-A1ZG-06	45	0
