Samples	SBS96A	SBS96B	SBS96C
TCGA-3N-A9WB-06	205	0	16
TCGA-3N-A9WC-06	2513	67	7
TCGA-3N-A9WD-06	1250	3	8
TCGA-BF-A1PU-01	93	2	17
TCGA-BF-A1PV-01	379	0	12
TCGA-BF-A1PX-01	457	0	0
TCGA-BF-A1PZ-01	314	0	19
TCGA-BF-A1Q0-01	880	32	42
TCGA-BF-A3DJ-01	183	5	10
TCGA-BF-A3DL-01	569	25	12
TCGA-BF-A3DM-01	619	5	26
TCGA-BF-A3DN-01	94	8	7
TCGA-BF-A5EO-01	811	11	37
TCGA-BF-A5EP-01	173	19	32
TCGA-BF-A5EQ-01	792	0	17
TCGA-BF-A5ER-01	251	1	24
TCGA-BF-A5ES-01	659	9	46
TCGA-BF-A9VF-01	111	0	14
TCGA-BF-AAOU-01	426	0	26
TCGA-BF-AAOX-01	1646	0	69
TCGA-BF-AAP0-06	620	0	22
TCGA-BF-AAP1-01	1148	22	49
TCGA-BF-AAP2-01	1833	0	0
TCGA-BF-AAP4-01	1093	0	31
TCGA-BF-AAP6-01	63	1	27
TCGA-BF-AAP7-01	560	5	53
TCGA-BF-AAP8-01	0	4	10
TCGA-D3-A1Q1-06	6	20	41
TCGA-D3-A1Q3-06	8	18	24
TCGA-D3-A1Q4-06	365	0	6
TCGA-D3-A1Q5-06	476	0	16
TCGA-D3-A1Q6-06	1081	31	31
TCGA-D3-A1Q7-06	121	0	10
TCGA-D3-A1Q8-06	294	8	22
TCGA-D3-A1Q9-06	7	21	14
TCGA-D3-A1QA-06	562	7	35
TCGA-D3-A1QB-06	481	0	40
TCGA-D3-A2J6-06	10	6	10
TCGA-D3-A2J7-06	465	1	9
TCGA-D3-A2J8-06	776	0	0
TCGA-D3-A2J9-06	77	0	18
TCGA-D3-A2JA-06	448	7	39
TCGA-D3-A2JB-06	4	12	2
TCGA-D3-A2JC-06	245	0	31
TCGA-D3-A2JD-06	552	0	0
TCGA-D3-A2JE-06	433	0	29
TCGA-D3-A2JF-06	1970	0	4
TCGA-D3-A2JG-06	133	3	12
TCGA-D3-A2JH-06	776	8	69
TCGA-D3-A2JK-06	366	21	20
TCGA-D3-A2JL-06	402	2	36
TCGA-D3-A2JN-06	390	30	26
TCGA-D3-A2JO-06	818	0	23
TCGA-D3-A2JP-06	331	11	17
TCGA-D3-A3BZ-06	8	28	45
TCGA-D3-A3C1-06	140	14	45
TCGA-D3-A3C3-06	253	46	41
TCGA-D3-A3C6-06	155	0	0
TCGA-D3-A3C7-06	1259	0	11
TCGA-D3-A3C8-06	699	4	0
TCGA-D3-A3CB-06	308	4	5
TCGA-D3-A3CC-06	8	28	3
TCGA-D3-A3CE-06	28	0	12
TCGA-D3-A3CF-06	6	20	16
TCGA-D3-A3ML-06	1250	0	18
TCGA-D3-A3MO-06	46	18	19
TCGA-D3-A3MR-06	1165	0	12
TCGA-D3-A3MU-06	646	16	0
TCGA-D3-A3MV-06	715	3	17
TCGA-D3-A51E-06	319	11	38
TCGA-D3-A51F-06	146	10	9
TCGA-D3-A51G-06	1569	0	121
TCGA-D3-A51H-06	37	3	0
TCGA-D3-A51J-06	600	0	13
TCGA-D3-A51K-06	2	14	16
TCGA-D3-A51N-06	91	18	10
TCGA-D3-A51R-06	953	0	15
TCGA-D3-A51T-06	1577	0	37
TCGA-D3-A5GL-06	519	0	58
TCGA-D3-A5GN-06	669	0	0
TCGA-D3-A5GO-06	2176	0	0
TCGA-D3-A5GR-06	316	24	12
TCGA-D3-A5GS-06	554	2	0
TCGA-D3-A5GT-01	1	6	19
TCGA-D3-A5GU-06	880	85	54
TCGA-D3-A8GB-06	1406	20	38
TCGA-D3-A8GC-06	1159	0	0
TCGA-D3-A8GD-06	75	27	30
TCGA-D3-A8GE-06	0	7	1
TCGA-D3-A8GI-06	7221	11	0
TCGA-D3-A8GJ-06	257	0	15
TCGA-D3-A8GK-06	778	20	0
TCGA-D3-A8GL-06	2563	0	0
TCGA-D3-A8GM-06	4383	17	844
TCGA-D3-A8GN-06	321	0	20
TCGA-D3-A8GO-06	783	0	17
TCGA-D3-A8GP-06	726	9	49
TCGA-D3-A8GQ-06	1936	45	0
TCGA-D3-A8GR-06	495	0	24
TCGA-D3-A8GS-06	265	5	23
TCGA-D3-A8GV-06	519	7	33
TCGA-D9-A148-06	318	39	29
TCGA-D9-A149-06	291	0	27
TCGA-D9-A1JW-06	1240	0	16
TCGA-D9-A1JX-06	223	5	23
TCGA-D9-A1X3-06	12	11	25
TCGA-D9-A3Z1-06	659	0	21
TCGA-D9-A3Z3-06	173	2	9
TCGA-D9-A3Z4-01	177	0	30
TCGA-D9-A4Z2-01	4	7	20
TCGA-D9-A4Z3-01	1034	0	44
TCGA-D9-A4Z5-01	15	50	23
TCGA-D9-A4Z6-06	369	0	0
TCGA-D9-A6E9-06	221	8	17
TCGA-D9-A6EA-06	856	27	6
TCGA-D9-A6EC-06	4984	223	561
TCGA-D9-A6EG-06	62	17	25
TCGA-DA-A1HV-06	1824	46	0
TCGA-DA-A1HW-06	415	12	25
TCGA-DA-A1HY-06	994	0	4
TCGA-DA-A1I0-06	644	3	39
TCGA-DA-A1I1-06	510	0	21
TCGA-DA-A1I2-06	151	15	13
TCGA-DA-A1I4-06	342	0	20
TCGA-DA-A1I5-06	589	0	0
TCGA-DA-A1I7-06	530	16	63
TCGA-DA-A1I8-06	201	33	18
TCGA-DA-A1IA-06	402	43	39
TCGA-DA-A1IB-06	0	7	1
TCGA-DA-A1IC-06	1235	0	127
TCGA-DA-A3F3-06	358	5	29
TCGA-DA-A3F5-06	370	32	55
TCGA-DA-A3F8-06	1644	0	0
TCGA-DA-A95V-06	308	28	36
TCGA-DA-A95W-06	200	0	16
TCGA-DA-A95X-06	624	34	26
TCGA-DA-A95Y-06	533	0	28
TCGA-DA-A95Z-06	2532	22	102
TCGA-DA-A960-01	1124	15	48
TCGA-EB-A1NK-01	168	9	19
TCGA-EB-A24C-01	4	7	24
TCGA-EB-A24D-01	766	13	36
TCGA-EB-A299-01	200	0	7
TCGA-EB-A3HV-01	37	20	6
TCGA-EB-A3XB-01	658	0	38
TCGA-EB-A3XC-01	523	12	33
TCGA-EB-A3XD-01	502	0	18
TCGA-EB-A3XE-01	12	3	7
TCGA-EB-A3XF-01	531	5	0
TCGA-EB-A3Y6-01	743	36	62
TCGA-EB-A3Y7-01	1414	52	52
TCGA-EB-A41A-01	2620	0	0
TCGA-EB-A41B-01	547	0	8
TCGA-EB-A42Y-01	30	18	33
TCGA-EB-A42Z-01	123	6	28
TCGA-EB-A430-01	496	0	33
TCGA-EB-A431-01	2390	0	7
TCGA-EB-A44N-01	191	1	16
TCGA-EB-A44O-01	639	0	53
TCGA-EB-A44P-01	462	5	11
TCGA-EB-A44Q-06	20	15	22
TCGA-EB-A44R-06	6	15	50
TCGA-EB-A4IQ-01	7	1	14
TCGA-EB-A4IS-01	741	27	5
TCGA-EB-A4OY-01	6	22	44
TCGA-EB-A4OZ-01	3	10	3
TCGA-EB-A4P0-01	219	13	26
TCGA-EB-A4XL-01	643	6	17
TCGA-EB-A51B-01	542	0	25
TCGA-EB-A550-01	176	0	27
TCGA-EB-A551-01	434	3	37
TCGA-EB-A553-01	340	48	47
TCGA-EB-A57M-01	3	27	29
TCGA-EB-A5FP-01	526	8	23
TCGA-EB-A5KH-06	6	22	26
