Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-3N-A9WB-06	197	0	15	9
TCGA-3N-A9WC-06	2450	30	8	99
TCGA-3N-A9WD-06	1221	0	8	32
TCGA-BF-A1PU-01	83	17	12	0
TCGA-BF-A1PV-01	379	0	12	0
TCGA-BF-A1PX-01	457	0	0	0
TCGA-BF-A1PZ-01	285	36	12	0
TCGA-BF-A1Q0-01	856	13	39	46
TCGA-BF-A3DJ-01	178	8	8	4
TCGA-BF-A3DL-01	550	0	12	44
TCGA-BF-A3DM-01	605	12	24	9
TCGA-BF-A3DN-01	91	5	6	7
TCGA-BF-A5EO-01	781	0	35	43
TCGA-BF-A5EP-01	167	29	28	0
TCGA-BF-A5EQ-01	778	10	16	5
TCGA-BF-A5ER-01	240	15	21	0
TCGA-BF-A5ES-01	642	32	40	0
TCGA-BF-A9VF-01	106	6	13	0
TCGA-BF-AAOU-01	419	10	23	0
TCGA-BF-AAOX-01	1625	16	63	11
TCGA-BF-AAP0-06	612	0	21	9
TCGA-BF-AAP1-01	1104	0	46	69
TCGA-BF-AAP2-01	1833	0	0	0
TCGA-BF-AAP4-01	1054	47	23	0
TCGA-BF-AAP6-01	60	5	25	1
TCGA-BF-AAP7-01	541	32	45	0
TCGA-BF-AAP8-01	0	2	11	1
TCGA-D3-A1Q1-06	5	20	38	4
TCGA-D3-A1Q3-06	5	10	22	13
TCGA-D3-A1Q4-06	354	12	5	0
TCGA-D3-A1Q5-06	440	43	9	0
TCGA-D3-A1Q6-06	1051	68	24	0
TCGA-D3-A1Q7-06	120	2	9	0
TCGA-D3-A1Q8-06	289	15	20	0
TCGA-D3-A1Q9-06	4	16	13	9
TCGA-D3-A1QA-06	547	0	33	24
TCGA-D3-A1QB-06	468	17	36	0
TCGA-D3-A2J6-06	10	5	9	2
TCGA-D3-A2J7-06	455	8	8	4
TCGA-D3-A2J8-06	763	0	0	13
TCGA-D3-A2J9-06	73	6	16	0
TCGA-D3-A2JA-06	429	32	33	0
TCGA-D3-A2JB-06	3	11	2	2
TCGA-D3-A2JC-06	240	9	27	0
TCGA-D3-A2JD-06	524	28	0	0
TCGA-D3-A2JE-06	427	8	27	0
TCGA-D3-A2JF-06	1968	0	6	0
TCGA-D3-A2JG-06	130	7	11	0
