Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-3N-A9WB-06	190	0	10	8	13
TCGA-3N-A9WC-06	2435	31	12	103	6
TCGA-3N-A9WD-06	1212	0	9	35	5
TCGA-BF-A1PU-01	80	18	10	0	4
TCGA-BF-A1PV-01	373	0	9	0	9
TCGA-BF-A1PX-01	457	0	0	0	0
TCGA-BF-A1PZ-01	282	40	11	0	0
TCGA-BF-A1Q0-01	825	8	24	39	58
TCGA-BF-A3DJ-01	174	7	6	4	7
TCGA-BF-A3DL-01	536	0	8	39	23
TCGA-BF-A3DM-01	595	10	19	11	15
TCGA-BF-A3DN-01	89	5	5	6	4
TCGA-BF-A5EO-01	768	0	28	39	24
TCGA-BF-A5EP-01	167	29	24	0	4
TCGA-BF-A5EQ-01	768	9	14	10	8
TCGA-BF-A5ER-01	234	15	16	0	11
TCGA-BF-A5ES-01	643	33	37	0	1
TCGA-BF-A9VF-01	107	6	12	0	0
TCGA-BF-AAOU-01	406	10	16	0	20
TCGA-BF-AAOX-01	1580	7	43	13	72
TCGA-BF-AAP0-06	588	0	12	7	35
TCGA-BF-AAP1-01	1075	0	34	61	49
TCGA-BF-AAP2-01	1829	4	0	0	0
TCGA-BF-AAP4-01	1032	46	14	0	32
TCGA-BF-AAP6-01	56	4	19	1	11
TCGA-BF-AAP7-01	517	27	31	0	43
TCGA-BF-AAP8-01	0	2	10	2	0
TCGA-D3-A1Q1-06	5	20	34	4	4
TCGA-D3-A1Q3-06	3	7	14	9	17
TCGA-D3-A1Q4-06	353	12	6	0	0
TCGA-D3-A1Q5-06	435	49	8	0	0
TCGA-D3-A1Q6-06	1052	67	24	0	0
TCGA-D3-A1Q7-06	117	3	7	0	4
TCGA-D3-A1Q8-06	286	13	17	2	6
TCGA-D3-A1Q9-06	4	12	9	7	10
TCGA-D3-A1QA-06	537	0	27	22	18
TCGA-D3-A1QB-06	462	17	29	0	13
TCGA-D3-A2J6-06	9	5	7	2	3
TCGA-D3-A2J7-06	448	7	6	6	8
TCGA-D3-A2J8-06	743	0	0	13	20
TCGA-D3-A2J9-06	74	7	14	0	0
TCGA-D3-A2JA-06	421	32	27	0	14
TCGA-D3-A2JB-06	3	10	1	2	2
TCGA-D3-A2JC-06	233	10	21	0	12
TCGA-D3-A2JD-06	519	33	0	0	0
TCGA-D3-A2JE-06	416	7	20	0	19
TCGA-D3-A2JF-06	1961	3	7	0	3
TCGA-D3-A2JG-06	129	7	9	1	2
TCGA-D3-A2JH-06	739	22	50	9	33
TCGA-D3-A2JK-06	352	39	16	0	0
TCGA-D3-A2JL-06	389	0	31	16	4
TCGA-D3-A2JN-06	376	19	21	21	9
TCGA-D3-A2JO-06	793	9	16	4	19
TCGA-D3-A2JP-06	308	11	9	9	22
TCGA-D3-A3BZ-06	1	6	28	13	33
TCGA-D3-A3C1-06	134	14	36	7	8
TCGA-D3-A3C3-06	249	47	34	10	0
TCGA-D3-A3C6-06	135	19	0	0	1
TCGA-D3-A3C7-06	1218	15	2	0	35
TCGA-D3-A3C8-06	657	0	0	46	0
TCGA-D3-A3CB-06	289	0	4	17	7
TCGA-D3-A3CC-06	5	15	4	14	1
TCGA-D3-A3CE-06	27	4	9	0	0
TCGA-D3-A3CF-06	5	19	13	4	1
TCGA-D3-A3ML-06	1174	0	13	56	25
TCGA-D3-A3MO-06	44	12	17	9	1
TCGA-D3-A3MR-06	1135	8	7	0	27
TCGA-D3-A3MU-06	631	16	2	13	0
TCGA-D3-A3MV-06	673	0	12	32	18
TCGA-D3-A51E-06	291	27	22	0	28
TCGA-D3-A51F-06	137	22	6	0	0
TCGA-D3-A51G-06	1485	61	80	0	64
TCGA-D3-A51H-06	36	1	0	3	0
TCGA-D3-A51J-06	574	30	9	0	0
TCGA-D3-A51K-06	1	9	11	4	7
TCGA-D3-A51N-06	88	19	8	4	0
TCGA-D3-A51R-06	928	2	12	14	12
TCGA-D3-A51T-06	1525	46	25	0	18
TCGA-D3-A5GL-06	488	24	39	0	26
TCGA-D3-A5GN-06	656	13	0	0	0
TCGA-D3-A5GO-06	2123	0	7	46	0
TCGA-D3-A5GR-06	308	26	11	7	0
TCGA-D3-A5GS-06	540	15	0	1	0
TCGA-D3-A5GT-01	0	5	15	2	4
TCGA-D3-A5GU-06	856	111	42	10	0
TCGA-D3-A8GB-06	1358	51	26	9	20
TCGA-D3-A8GC-06	1135	21	3	0	0
TCGA-D3-A8GD-06	66	27	19	5	15
TCGA-D3-A8GE-06	0	6	0	2	0
TCGA-D3-A8GI-06	6752	0	0	433	47
TCGA-D3-A8GJ-06	254	4	13	0	1
TCGA-D3-A8GK-06	758	31	0	9	0
TCGA-D3-A8GL-06	2522	18	0	23	0
TCGA-D3-A8GM-06	4344	161	732	7	0
TCGA-D3-A8GN-06	317	0	16	0	8
TCGA-D3-A8GO-06	769	16	15	0	0
TCGA-D3-A8GP-06	687	24	29	1	43
TCGA-D3-A8GQ-06	1782	0	0	155	44
TCGA-D3-A8GR-06	460	35	14	0	10
TCGA-D3-A8GS-06	248	27	18	0	0
TCGA-D3-A8GV-06	490	3	23	18	25
TCGA-D9-A148-06	306	28	24	22	6
TCGA-D9-A149-06	277	11	18	0	12
TCGA-D9-A1JW-06	1201	42	13	0	0
TCGA-D9-A1JX-06	205	1	16	9	20
TCGA-D9-A1X3-06	12	17	19	0	0
TCGA-D9-A3Z1-06	631	34	15	0	0
TCGA-D9-A3Z3-06	167	0	8	7	2
TCGA-D9-A3Z4-01	164	22	21	0	0
TCGA-D9-A4Z2-01	3	8	11	0	9
TCGA-D9-A4Z3-01	981	59	38	0	0
TCGA-D9-A4Z5-01	12	50	18	8	0
TCGA-D9-A4Z6-06	364	5	0	0	0
TCGA-D9-A6E9-06	218	14	14	0	0
TCGA-D9-A6EA-06	826	28	3	21	11
TCGA-D9-A6EC-06	3734	0	0	91	1943
TCGA-D9-A6EG-06	60	14	22	8	0
TCGA-DA-A1HV-06	1745	0	0	103	22
TCGA-DA-A1HW-06	393	5	18	18	18
TCGA-DA-A1HY-06	956	41	1	0	0
TCGA-DA-A1I0-06	619	35	29	0	3
TCGA-DA-A1I1-06	491	8	15	4	13
TCGA-DA-A1I2-06	147	19	10	2	1
TCGA-DA-A1I4-06	332	11	16	0	3
TCGA-DA-A1I5-06	589	0	0	0	0
TCGA-DA-A1I7-06	477	0	39	31	62
TCGA-DA-A1I8-06	196	33	15	8	0
TCGA-DA-A1IA-06	392	38	35	19	0
TCGA-DA-A1IB-06	0	5	1	2	0
TCGA-DA-A1IC-06	1176	70	93	0	23
TCGA-DA-A3F3-06	335	0	20	16	21
TCGA-DA-A3F5-06	360	50	42	0	5
TCGA-DA-A3F8-06	1636	0	5	3	0
TCGA-DA-A95V-06	303	34	30	5	0
TCGA-DA-A95W-06	194	9	12	0	1
TCGA-DA-A95X-06	581	28	14	25	36
TCGA-DA-A95Y-06	512	15	18	0	16
TCGA-DA-A95Z-06	2412	20	69	64	91
TCGA-DA-A960-01	1060	8	31	35	53
TCGA-EB-A1NK-01	164	10	14	4	4
TCGA-EB-A24C-01	4	9	18	1	3
TCGA-EB-A24D-01	730	42	23	0	20
TCGA-EB-A299-01	193	8	6	0	0
TCGA-EB-A3HV-01	32	19	5	6	1
TCGA-EB-A3XB-01	638	13	28	0	17
TCGA-EB-A3XC-01	487	41	17	0	23
TCGA-EB-A3XD-01	479	0	9	3	29
TCGA-EB-A3XE-01	11	6	5	0	0
TCGA-EB-A3XF-01	515	4	0	14	3
TCGA-EB-A3Y6-01	708	47	45	15	26
TCGA-EB-A3Y7-01	1345	0	38	80	55
TCGA-EB-A41A-01	2512	0	0	83	25
TCGA-EB-A41B-01	514	0	6	25	10
TCGA-EB-A42Y-01	25	12	22	6	16
TCGA-EB-A42Z-01	108	20	16	0	13
TCGA-EB-A430-01	467	24	20	0	18
TCGA-EB-A431-01	2322	70	5	0	0
TCGA-EB-A44N-01	174	15	9	0	10
TCGA-EB-A44O-01	594	47	34	0	17
TCGA-EB-A44P-01	440	30	6	0	2
TCGA-EB-A44Q-06	19	18	19	1	0
TCGA-EB-A44R-06	4	15	38	3	11
TCGA-EB-A4IQ-01	6	4	10	0	2
TCGA-EB-A4IS-01	695	77	1	0	0
TCGA-EB-A4OY-01	4	15	36	7	10
TCGA-EB-A4OZ-01	2	10	1	0	3
TCGA-EB-A4P0-01	214	22	22	0	0
TCGA-EB-A4XL-01	620	32	14	0	0
TCGA-EB-A51B-01	515	31	21	0	0
TCGA-EB-A550-01	170	8	20	0	5
TCGA-EB-A551-01	397	0	21	15	41
TCGA-EB-A553-01	319	68	29	0	19
TCGA-EB-A57M-01	0	18	27	13	1
TCGA-EB-A5FP-01	514	1	22	20	0
TCGA-EB-A5KH-06	5	22	20	2	5
TCGA-EB-A5SE-01	357	18	11	2	10
TCGA-EB-A5SF-01	17	9	3	11	2
TCGA-EB-A5SG-06	363	6	0	0	0
TCGA-EB-A5SH-06	24	73	17	6	2
TCGA-EB-A5UL-06	509	69	22	0	32
TCGA-EB-A5UM-01	676	25	33	0	18
TCGA-EB-A5UN-06	894	68	36	0	0
TCGA-EB-A5VU-01	16	27	20	2	0
TCGA-EB-A6L9-06	2	7	14	4	1
TCGA-EB-A6QY-01	796	23	15	8	30
TCGA-EB-A6QZ-01	330	39	11	0	7
TCGA-EB-A6R0-01	461	27	29	11	0
TCGA-EB-A82B-01	11	13	39	2	0
TCGA-EB-A82C-01	16	9	11	3	9
TCGA-EB-A85I-01	247	31	17	1	10
TCGA-EB-A85J-01	526	0	11	4	23
TCGA-EB-A97M-01	392	0	27	0	10
TCGA-EE-A17X-06	1008	24	26	32	0
TCGA-EE-A17Y-06	203	14	10	5	0
TCGA-EE-A17Z-06	1	16	8	0	1
TCGA-EE-A180-06	642	18	44	0	21
TCGA-EE-A181-06	3862	37	0	25	80
TCGA-EE-A182-06	1884	0	4	78	74
TCGA-EE-A183-06	949	0	19	6	42
TCGA-EE-A184-06	10	393	7	0	0
TCGA-EE-A185-06	227	20	13	8	0
TCGA-EE-A20B-06	224	20	0	0	0
TCGA-EE-A20C-06	2596	148	77	0	50
TCGA-EE-A20F-06	608	9	2	23	9
TCGA-EE-A20H-06	729	30	17	0	37
TCGA-EE-A20I-06	2	13	8	5	2
TCGA-EE-A29A-06	332	22	0	0	0
TCGA-EE-A29B-06	711	5	0	33	0
TCGA-EE-A29C-06	513	15	25	0	20
TCGA-EE-A29D-06	5190	39	3	0	12
TCGA-EE-A29E-06	4659	0	0	230	0
TCGA-EE-A29G-06	416	11	3	16	28
TCGA-EE-A29H-06	391	9	7	0	11
TCGA-EE-A29L-06	2585	16	44	69	46
TCGA-EE-A29M-06	3195	0	0	52	0
TCGA-EE-A29N-06	745	40	44	0	18
TCGA-EE-A29P-06	391	7	12	0	0
TCGA-EE-A29Q-06	345	17	19	9	19
TCGA-EE-A29R-06	886	19	7	12	10
TCGA-EE-A29S-06	1413	40	20	0	25
TCGA-EE-A29T-06	394	37	55	21	6
TCGA-EE-A29V-06	1270	97	45	0	0
TCGA-EE-A29W-06	64	13	10	1	5
TCGA-EE-A29X-06	190	13	2	0	0
TCGA-EE-A2A0-06	530	0	3	0	0
TCGA-EE-A2A1-06	491	7	15	0	16
TCGA-EE-A2A2-06	1876	149	49	0	0
TCGA-EE-A2A5-06	382	35	11	8	2
TCGA-EE-A2A6-06	350	1	13	22	31
TCGA-EE-A2GB-06	868	17	5	0	21
TCGA-EE-A2GC-06	3096	86	25	0	27
TCGA-EE-A2GD-06	706	0	7	14	17
TCGA-EE-A2GE-06	296	24	6	0	0
TCGA-EE-A2GH-06	392	13	11	10	0
TCGA-EE-A2GI-06	2019	61	44	2	16
TCGA-EE-A2GJ-06	1524	12	24	0	50
TCGA-EE-A2GK-06	0	3	0	0	1
TCGA-EE-A2GL-06	447	28	8	0	14
TCGA-EE-A2GM-06	915	36	23	0	0
TCGA-EE-A2GN-06	507	54	6	2	0
TCGA-EE-A2GO-06	2607	72	64	0	38
TCGA-EE-A2GP-06	831	2	28	0	3
TCGA-EE-A2GR-06	2034	115	66	0	0
TCGA-EE-A2GS-06	432	18	10	7	1
TCGA-EE-A2GT-06	426	0	32	0	4
TCGA-EE-A2GU-06	828	0	0	0	0
TCGA-EE-A2M5-06	2494	148	39	0	84
TCGA-EE-A2M6-06	688	37	16	0	5
TCGA-EE-A2M7-06	29	30	11	9	7
TCGA-EE-A2M8-06	115	0	8	16	12
TCGA-EE-A2MC-06	930	0	17	0	83
TCGA-EE-A2MD-06	2160	0	24	52	95
TCGA-EE-A2ME-06	32	3	5	0	2
TCGA-EE-A2MF-06	953	0	0	35	44
TCGA-EE-A2MG-06	263	8	6	0	0
TCGA-EE-A2MH-06	169	14	16	0	2
TCGA-EE-A2MI-06	1478	6	4	0	0
TCGA-EE-A2MJ-06	2521	0	0	49	82
TCGA-EE-A2MK-06	358	0	1	33	12
TCGA-EE-A2ML-06	668	65	19	0	6
TCGA-EE-A2MM-06	716	1	24	0	20
TCGA-EE-A2MN-06	176	9	9	11	0
TCGA-EE-A2MP-06	329	27	26	0	11
TCGA-EE-A2MQ-06	295	30	15	0	25
TCGA-EE-A2MR-06	4152	0	109	327	473
TCGA-EE-A2MS-06	3775	175	32	0	0
TCGA-EE-A2MT-06	1196	31	27	0	5
TCGA-EE-A2MU-06	821	0	3	21	65
TCGA-EE-A3AA-06	1906	0	0	86	58
