Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-3N-A9WB-06	159	0	2	7	53	0
TCGA-3N-A9WC-06	2127	0	0	130	330	0
TCGA-3N-A9WD-06	1061	0	0	52	142	6
TCGA-BF-A1PU-01	70	15	6	0	21	0
TCGA-BF-A1PV-01	319	0	0	0	72	0
TCGA-BF-A1PX-01	409	0	0	0	48	0
TCGA-BF-A1PZ-01	271	29	10	0	23	0
TCGA-BF-A1Q0-01	719	0	1	44	168	22
TCGA-BF-A3DJ-01	144	4	0	4	46	0
TCGA-BF-A3DL-01	459	0	0	40	107	0
TCGA-BF-A3DM-01	525	0	7	17	101	0
TCGA-BF-A3DN-01	77	2	0	6	24	0
TCGA-BF-A5EO-01	658	0	5	43	153	0
TCGA-BF-A5EP-01	160	21	23	3	4	13
TCGA-BF-A5EQ-01	670	0	0	19	120	0
TCGA-BF-A5ER-01	208	10	8	0	49	1
TCGA-BF-A5ES-01	574	16	24	7	93	0
TCGA-BF-A9VF-01	107	2	12	0	3	1
TCGA-BF-AAOU-01	349	5	1	0	97	0
TCGA-BF-AAOX-01	1350	0	0	25	340	0
TCGA-BF-AAP0-06	496	0	0	10	136	0
TCGA-BF-AAP1-01	884	0	0	58	277	0
TCGA-BF-AAP2-01	1600	0	0	0	233	0
TCGA-BF-AAP4-01	929	20	0	0	164	11
TCGA-BF-AAP6-01	43	4	10	0	34	0
TCGA-BF-AAP7-01	451	18	9	0	135	5
TCGA-BF-AAP8-01	0	2	10	2	0	0
TCGA-D3-A1Q1-06	4	19	30	4	7	3
TCGA-D3-A1Q3-06	1	5	10	8	13	13
TCGA-D3-A1Q4-06	331	3	6	3	28	0
TCGA-D3-A1Q5-06	394	35	2	0	61	0
TCGA-D3-A1Q6-06	959	32	15	17	115	5
TCGA-D3-A1Q7-06	103	1	3	0	24	0
TCGA-D3-A1Q8-06	255	6	10	6	47	0
TCGA-D3-A1Q9-06	3	12	7	7	4	9
TCGA-D3-A1QA-06	456	0	9	24	115	0
TCGA-D3-A1QB-06	415	7	17	0	80	2
TCGA-D3-A2J6-06	7	5	5	2	7	0
TCGA-D3-A2J7-06	391	0	0	11	73	0
TCGA-D3-A2J8-06	609	0	0	17	150	0
TCGA-D3-A2J9-06	67	5	11	0	12	0
TCGA-D3-A2JA-06	378	21	15	0	79	1
TCGA-D3-A2JB-06	2	9	1	2	3	1
TCGA-D3-A2JC-06	195	7	9	0	65	0
TCGA-D3-A2JD-06	487	17	0	0	37	11
TCGA-D3-A2JE-06	379	0	14	0	48	21
TCGA-D3-A2JF-06	1704	0	0	0	270	0
TCGA-D3-A2JG-06	117	3	7	3	15	3
TCGA-D3-A2JH-06	635	9	18	12	179	0
TCGA-D3-A2JK-06	324	27	12	4	40	0
TCGA-D3-A2JL-06	344	0	21	21	52	2
TCGA-D3-A2JN-06	336	8	14	26	55	7
TCGA-D3-A2JO-06	696	0	0	14	126	5
TCGA-D3-A2JP-06	258	5	0	9	87	0
TCGA-D3-A3BZ-06	3	3	26	13	0	36
TCGA-D3-A3C1-06	114	12	25	6	42	0
TCGA-D3-A3C3-06	237	36	33	15	15	4
TCGA-D3-A3C6-06	122	14	0	0	19	0
TCGA-D3-A3C7-06	1079	0	0	8	157	26
TCGA-D3-A3C8-06	551	0	0	48	104	0
TCGA-D3-A3CB-06	243	0	0	18	56	0
TCGA-D3-A3CC-06	6	13	3	14	0	3
TCGA-D3-A3CE-06	26	2	8	0	2	2
TCGA-D3-A3CF-06	5	17	12	4	3	1
TCGA-D3-A3ML-06	985	0	0	61	222	0
TCGA-D3-A3MO-06	41	10	13	9	10	0
TCGA-D3-A3MR-06	998	0	0	9	162	8
TCGA-D3-A3MU-06	595	0	10	29	20	8
TCGA-D3-A3MV-06	568	0	0	34	133	0
TCGA-D3-A51E-06	249	22	6	0	91	0
TCGA-D3-A51F-06	138	18	9	0	0	0
TCGA-D3-A51G-06	1308	31	28	0	323	0
TCGA-D3-A51H-06	36	0	0	4	0	0
TCGA-D3-A51J-06	529	14	4	0	64	2
TCGA-D3-A51K-06	2	8	10	4	0	8
TCGA-D3-A51N-06	83	14	8	6	4	4
TCGA-D3-A51R-06	790	0	0	23	155	0
TCGA-D3-A51T-06	1360	10	1	17	226	0
TCGA-D3-A5GL-06	446	10	25	0	77	19
TCGA-D3-A5GN-06	620	0	4	0	45	0
TCGA-D3-A5GO-06	1814	0	0	69	293	0
TCGA-D3-A5GR-06	290	16	11	14	21	0
TCGA-D3-A5GS-06	512	1	4	15	24	0
TCGA-D3-A5GT-01	0	5	13	1	5	2
TCGA-D3-A5GU-06	795	75	39	28	62	20
TCGA-D3-A8GB-06	1204	18	3	27	212	0
TCGA-D3-A8GC-06	1045	0	0	1	113	0
TCGA-D3-A8GD-06	56	24	11	4	33	4
TCGA-D3-A8GE-06	0	6	0	2	0	0
TCGA-D3-A8GI-06	5678	0	0	457	1097	0
TCGA-D3-A8GJ-06	223	0	6	0	43	0
TCGA-D3-A8GK-06	699	8	0	24	63	4
TCGA-D3-A8GL-06	2151	0	0	53	359	0
TCGA-D3-A8GM-06	4036	32	624	94	406	52
TCGA-D3-A8GN-06	274	0	6	0	61	0
TCGA-D3-A8GO-06	687	0	1	2	110	0
TCGA-D3-A8GP-06	602	10	8	7	144	13
TCGA-D3-A8GQ-06	1478	0	0	151	352	0
TCGA-D3-A8GR-06	423	19	7	0	60	10
TCGA-D3-A8GS-06	242	18	20	0	7	6
TCGA-D3-A8GV-06	419	0	3	19	118	0
TCGA-D9-A148-06	277	18	16	25	48	2
TCGA-D9-A149-06	250	5	12	0	45	6
TCGA-D9-A1JW-06	1127	8	8	0	113	0
TCGA-D9-A1JX-06	170	0	2	7	72	0
TCGA-D9-A1X3-06	13	16	19	0	0	0
TCGA-D9-A3Z1-06	582	16	10	0	72	0
TCGA-D9-A3Z3-06	149	0	6	9	15	5
TCGA-D9-A3Z4-01	157	15	19	0	10	6
TCGA-D9-A4Z2-01	2	8	9	0	5	7
TCGA-D9-A4Z3-01	996	27	55	0	0	0
TCGA-D9-A4Z5-01	11	48	16	8	5	0
TCGA-D9-A4Z6-06	331	0	0	1	37	0
TCGA-D9-A6E9-06	195	8	10	4	29	0
TCGA-D9-A6EA-06	746	3	0	35	84	21
TCGA-D9-A6EC-06	3419	0	0	174	303	1872
TCGA-D9-A6EG-06	57	10	19	8	9	1
TCGA-DA-A1HV-06	1492	0	0	114	264	0
TCGA-DA-A1HW-06	339	0	4	20	89	0
TCGA-DA-A1HY-06	901	12	2	0	77	6
TCGA-DA-A1I0-06	556	17	15	1	97	0
TCGA-DA-A1I1-06	426	0	1	9	95	0
TCGA-DA-A1I2-06	135	13	8	5	14	4
TCGA-DA-A1I4-06	295	3	8	1	55	0
TCGA-DA-A1I5-06	516	0	0	2	71	0
TCGA-DA-A1I7-06	388	0	5	25	191	0
TCGA-DA-A1I8-06	191	23	16	13	5	4
TCGA-DA-A1IA-06	375	24	35	29	19	2
TCGA-DA-A1IB-06	0	5	1	2	0	0
TCGA-DA-A1IC-06	1065	38	59	0	200	0
TCGA-DA-A3F3-06	280	0	4	16	92	0
TCGA-DA-A3F5-06	322	37	30	5	63	0
TCGA-DA-A3F8-06	1404	0	0	26	214	0
TCGA-DA-A95V-06	287	22	31	13	10	9
TCGA-DA-A95W-06	178	4	9	0	23	2
TCGA-DA-A95X-06	496	15	0	25	148	0
TCGA-DA-A95Y-06	463	1	8	0	78	11
TCGA-DA-A95Z-06	2041	0	0	74	541	0
TCGA-DA-A960-01	899	0	0	39	249	0
TCGA-EB-A1NK-01	144	7	10	6	28	1
TCGA-EB-A24C-01	4	8	17	1	2	3
TCGA-EB-A24D-01	663	20	11	6	102	13
TCGA-EB-A299-01	182	3	5	0	17	0
TCGA-EB-A3HV-01	29	17	4	6	7	0
TCGA-EB-A3XB-01	558	0	7	3	128	0
TCGA-EB-A3XC-01	445	26	11	0	65	21
TCGA-EB-A3XD-01	391	0	0	4	125	0
TCGA-EB-A3XE-01	12	5	5	0	0	0
TCGA-EB-A3XF-01	436	0	0	18	82	0
TCGA-EB-A3Y6-01	628	30	24	22	136	1
TCGA-EB-A3Y7-01	1171	0	4	89	236	18
TCGA-EB-A41A-01	2115	0	0	102	403	0
TCGA-EB-A41B-01	420	0	0	25	110	0
TCGA-EB-A42Y-01	25	10	20	6	3	17
TCGA-EB-A42Z-01	89	18	8	0	42	0
TCGA-EB-A430-01	417	13	7	0	90	2
TCGA-EB-A431-01	2147	7	8	15	185	35
TCGA-EB-A44N-01	153	11	2	0	42	0
TCGA-EB-A44O-01	540	30	20	0	96	6
TCGA-EB-A44P-01	395	15	0	0	68	0
TCGA-EB-A44Q-06	19	16	18	2	0	2
TCGA-EB-A44R-06	2	15	32	2	11	9
TCGA-EB-A4IQ-01	5	4	8	0	5	0
TCGA-EB-A4IS-01	673	52	8	0	31	9
TCGA-EB-A4OY-01	6	13	32	8	0	13
TCGA-EB-A4OZ-01	3	9	1	0	0	3
TCGA-EB-A4P0-01	210	14	22	4	7	1
TCGA-EB-A4XL-01	583	11	17	7	29	19
TCGA-EB-A51B-01	514	15	29	0	3	6
TCGA-EB-A550-01	146	5	12	0	40	0
TCGA-EB-A551-01	335	0	1	15	118	5
TCGA-EB-A553-01	296	54	23	0	45	17
TCGA-EB-A57M-01	0	17	26	13	0	3
TCGA-EB-A5FP-01	450	0	12	26	69	0
TCGA-EB-A5KH-06	6	20	19	2	1	6
TCGA-EB-A5SE-01	316	9	3	7	63	0
TCGA-EB-A5SF-01	14	8	2	11	6	1
TCGA-EB-A5SG-06	333	0	0	7	25	4
TCGA-EB-A5SH-06	25	68	17	7	0	5
TCGA-EB-A5UL-06	461	53	11	0	87	20
TCGA-EB-A5UM-01	601	11	14	0	126	0
TCGA-EB-A5UN-06	817	39	21	0	121	0
TCGA-EB-A5VU-01	17	24	19	3	2	0
TCGA-EB-A6L9-06	1	6	13	4	4	0
TCGA-EB-A6QY-01	693	7	0	15	157	0
TCGA-EB-A6QZ-01	304	26	7	0	43	7
TCGA-EB-A6R0-01	416	13	21	18	58	2
TCGA-EB-A82B-01	12	11	36	3	0	3
TCGA-EB-A82C-01	10	10	6	1	21	0
TCGA-EB-A85I-01	215	25	8	2	56	0
TCGA-EB-A85J-01	436	0	0	7	121	0
TCGA-EB-A97M-01	339	0	14	1	75	0
TCGA-EE-A17X-06	893	0	9	44	144	0
TCGA-EE-A17Y-06	196	7	12	11	4	2
TCGA-EE-A17Z-06	0	16	6	0	4	0
TCGA-EE-A180-06	559	6	20	1	139	0
TCGA-EE-A181-06	3353	0	0	75	568	8
TCGA-EE-A182-06	1583	0	0	86	371	0
TCGA-EE-A183-06	796	0	0	11	209	0
TCGA-EE-A184-06	10	383	13	0	4	0
TCGA-EE-A185-06	203	13	9	11	32	0
TCGA-EE-A20B-06	203	11	0	0	30	0
TCGA-EE-A20C-06	2387	69	47	0	307	61
TCGA-EE-A20F-06	522	0	0	29	100	0
TCGA-EE-A20H-06	656	12	0	0	127	18
TCGA-EE-A20I-06	1	12	7	4	5	1
TCGA-EE-A29A-06	318	11	4	5	12	4
TCGA-EE-A29B-06	637	0	0	43	69	0
TCGA-EE-A29C-06	452	5	8	0	108	0
TCGA-EE-A29D-06	4533	0	0	0	711	0
TCGA-EE-A29E-06	3997	0	0	270	622	0
TCGA-EE-A29G-06	357	0	0	18	98	1
TCGA-EE-A29H-06	345	1	0	5	67	0
TCGA-EE-A29L-06	2268	0	3	99	374	16
TCGA-EE-A29M-06	2794	0	0	100	353	0
TCGA-EE-A29N-06	686	17	31	0	94	19
TCGA-EE-A29P-06	377	0	15	0	15	3
TCGA-EE-A29Q-06	299	10	4	10	86	0
TCGA-EE-A29R-06	779	0	0	23	132	0
TCGA-EE-A29S-06	1242	2	0	13	241	0
TCGA-EE-A29T-06	338	27	34	21	93	0
TCGA-EE-A29V-06	1239	53	52	0	52	16
TCGA-EE-A29W-06	59	11	8	1	10	4
TCGA-EE-A29X-06	177	6	1	2	15	4
TCGA-EE-A2A0-06	467	0	0	9	57	0
TCGA-EE-A2A1-06	427	0	0	0	102	0
TCGA-EE-A2A2-06	1827	79	68	0	40	60
TCGA-EE-A2A5-06	345	21	5	14	50	3
TCGA-EE-A2A6-06	288	0	0	20	109	0
TCGA-EE-A2GB-06	768	0	0	0	143	0
TCGA-EE-A2GC-06	2744	5	0	41	444	0
TCGA-EE-A2GD-06	600	0	0	20	124	0
TCGA-EE-A2GE-06	291	13	8	0	10	4
TCGA-EE-A2GH-06	352	3	6	16	49	0
TCGA-EE-A2GI-06	1792	9	7	30	304	0
TCGA-EE-A2GJ-06	1346	0	0	5	237	22
TCGA-EE-A2GK-06	0	3	0	0	0	1
TCGA-EE-A2GL-06	408	15	2	0	60	12
TCGA-EE-A2GM-06	832	12	14	9	107	0
TCGA-EE-A2GN-06	469	36	5	12	47	0
TCGA-EE-A2GO-06	2373	7	27	0	349	25
TCGA-EE-A2GP-06	718	0	7	3	136	0
TCGA-EE-A2GR-06	1880	50	49	2	207	27
TCGA-EE-A2GS-06	382	6	2	12	66	0
TCGA-EE-A2GT-06	381	0	22	0	57	2
TCGA-EE-A2GU-06	736	0	0	11	81	0
TCGA-EE-A2M5-06	2287	72	12	0	318	76
TCGA-EE-A2M6-06	634	16	10	0	72	14
TCGA-EE-A2M7-06	24	29	7	8	17	1
TCGA-EE-A2M8-06	90	0	0	13	48	0
TCGA-EE-A2MC-06	769	0	0	0	261	0
TCGA-EE-A2MD-06	1779	0	0	58	494	0
TCGA-EE-A2ME-06	27	2	3	0	10	0
TCGA-EE-A2MF-06	820	0	0	44	145	23
TCGA-EE-A2MG-06	251	1	6	0	19	0
TCGA-EE-A2MH-06	156	8	13	0	22	2
TCGA-EE-A2MI-06	1281	0	0	21	186	0
TCGA-EE-A2MJ-06	2121	0	0	68	463	0
TCGA-EE-A2MK-06	305	0	0	34	64	1
TCGA-EE-A2ML-06	611	43	9	0	94	1
TCGA-EE-A2MM-06	611	0	1	0	149	0
TCGA-EE-A2MN-06	154	4	4	12	31	0
TCGA-EE-A2MP-06	296	18	15	0	64	0
TCGA-EE-A2MQ-06	260	23	3	0	75	4
TCGA-EE-A2MR-06	3203	0	0	252	1606	0
TCGA-EE-A2MS-06	3359	67	0	57	499	0
TCGA-EE-A2MT-06	1089	1	10	0	158	1
TCGA-EE-A2MU-06	709	0	0	29	130	42
TCGA-EE-A3AA-06	1605	0	0	96	349	0
TCGA-EE-A3AB-06	609	70	27	0	83	120
TCGA-EE-A3AC-06	1181	0	7	32	160	5
TCGA-EE-A3AD-06	480	21	8	1	86	0
TCGA-EE-A3AE-06	1631	0	0	90	292	0
TCGA-EE-A3AF-06	1203	55	62	0	26	15
TCGA-EE-A3AG-06	2023	20	1	0	268	0
TCGA-EE-A3AH-06	438	0	0	0	66	4
TCGA-EE-A3J3-06	137	11	27	5	47	0
TCGA-EE-A3J4-06	296	8	42	26	16	30
TCGA-EE-A3J5-06	2576	0	0	0	338	26
TCGA-EE-A3J7-06	1031	89	88	0	115	27
TCGA-EE-A3J8-06	297	0	0	20	54	0
TCGA-EE-A3JA-06	1211	0	0	39	185	0
TCGA-EE-A3JB-06	677	48	34	15	53	32
TCGA-EE-A3JD-06	2300	0	0	29	773	0
TCGA-EE-A3JE-06	276	19	4	0	69	1
TCGA-EE-A3JH-06	183	4	26	7	25	0
TCGA-EE-A3JI-06	1239	87	54	37	101	18
TCGA-ER-A193-06	2179	0	0	19	401	20
TCGA-ER-A194-01	1630	17	10	0	209	0
TCGA-ER-A195-06	284	0	0	5	59	0
TCGA-ER-A196-01	1	4	13	1	6	0
TCGA-ER-A197-06	3	18	20	1	5	5
TCGA-ER-A198-06	533	25	30	0	64	0
TCGA-ER-A199-06	295	8	0	6	63	0
TCGA-ER-A19A-06	178	0	0	2	68	0
TCGA-ER-A19B-06	40	15	11	7	48	10
TCGA-ER-A19C-06	93	8	4	12	0	5
TCGA-ER-A19D-06	494	4	18	0	126	0
TCGA-ER-A19E-06	420	31	15	22	129	0
TCGA-ER-A19F-06	1107	15	0	0	191	0
TCGA-ER-A19G-06	562	15	20	0	84	17
TCGA-ER-A19H-06	260	24	5	0	84	0
TCGA-ER-A19J-06	229	0	7	8	47	0
TCGA-ER-A19K-01	474	0	18	0	7	3
TCGA-ER-A19L-06	61	3	1	2	4	3
TCGA-ER-A19M-06	564	11	14	0	88	0
TCGA-ER-A19N-06	559	5	0	14	75	9
TCGA-ER-A19O-06	182	0	0	2	60	0
TCGA-ER-A19P-06	259	332	0	7	42	0
TCGA-ER-A19Q-06	104	0	5	0	54	0
TCGA-ER-A19S-06	246	5	16	1	2	5
TCGA-ER-A19T-01	15	18	23	6	0	8
TCGA-ER-A19W-06	365	8	29	27	59	0
TCGA-ER-A1A1-06	87	4	1	0	0	2
TCGA-ER-A2NB-01	10	29	26	1	10	9
TCGA-ER-A2NC-06	474	11	2	0	65	0
TCGA-ER-A2ND-06	73	13	20	0	35	4
TCGA-ER-A2NE-06	119	11	0	16	33	0
TCGA-ER-A2NF-01	31	0	10	0	0	0
TCGA-ER-A2NG-06	287	0	0	26	14	20
TCGA-ER-A2NH-06	337	0	0	8	70	0
TCGA-ER-A3ES-06	1	1	19	1	4	3
TCGA-ER-A3ET-06	26	37	31	14	0	8
TCGA-ER-A3EV-06	13	32	29	17	0	8
TCGA-ER-A3PL-06	483	21	12	0	3	0
TCGA-ER-A42H-01	5	20	44	6	0	3
TCGA-ER-A42K-06	202	21	4	9	34	3
TCGA-ER-A42L-06	1226	0	0	12	63	0
TCGA-FR-A2OS-01	0	0	9	0	6	1
TCGA-FR-A3R1-01	453	28	9	0	99	0
TCGA-FR-A3YN-06	615	11	0	0	162	0
TCGA-FR-A3YO-06	945	0	0	5	239	0
TCGA-FR-A44A-06	320	27	24	4	43	2
TCGA-FR-A69P-06	235	0	4	4	62	0
TCGA-FR-A726-01	9101	102	0	171	767	5
TCGA-FR-A728-01	445	6	0	25	64	0
TCGA-FR-A729-06	936	0	0	53	207	8
TCGA-FR-A7U8-06	4	5	30	5	0	0
TCGA-FR-A7U9-06	2003	0	0	78	399	0
TCGA-FR-A7UA-06	213	0	0	16	12	0
TCGA-FR-A8YC-06	3331	0	0	134	635	0
TCGA-FR-A8YD-06	33	52	13	18	1	15
TCGA-FR-A8YE-06	389	0	0	18	61	3
TCGA-FS-A1YW-06	165	0	13	7	34	0
TCGA-FS-A1YX-06	10	11	5	1	3	0
TCGA-FS-A1YY-06	243	6	17	0	7	1
TCGA-FS-A1Z0-06	248	6	14	21	55	7
TCGA-FS-A1Z3-06	1088	0	0	26	276	0
TCGA-FS-A1Z4-06	44	3	4	0	0	2
TCGA-FS-A1Z7-06	214	0	14	5	17	0
TCGA-FS-A1ZA-06	1228	0	0	67	329	0
TCGA-FS-A1ZB-06	258	2	0	0	56	0
TCGA-FS-A1ZC-06	804	0	0	16	158	0
TCGA-FS-A1ZD-06	277	12	12	0	28	12
TCGA-FS-A1ZE-06	119	8	8	14	41	0
TCGA-FS-A1ZF-06	195	11	13	6	52	2
TCGA-FS-A1ZG-06	0	4	28	8	0	5
TCGA-FS-A1ZH-06	9	10	10	1	14	0
TCGA-FS-A1ZJ-06	17	19	35	11	0	1
TCGA-FS-A1ZK-06	1923	96	11	0	142	40
TCGA-FS-A1ZM-06	242	29	6	0	48	6
TCGA-FS-A1ZN-01	119	4	12	0	0	2
TCGA-FS-A1ZP-06	395	0	0	35	150	0
TCGA-FS-A1ZQ-06	567	0	0	25	75	16
TCGA-FS-A1ZR-06	144	4	0	0	39	0
TCGA-FS-A1ZS-06	301	11	25	9	38	0
TCGA-FS-A1ZT-06	205	0	7	0	30	0
TCGA-FS-A1ZU-06	6	4	22	2	17	1
TCGA-FS-A1ZW-06	660	1	1	43	203	0
TCGA-FS-A1ZY-06	11	13	12	2	0	4
TCGA-FS-A1ZZ-06	1639	0	0	44	464	0
TCGA-FS-A4F0-06	657	29	18	0	59	7
TCGA-FS-A4F4-06	12	11	12	10	7	4
TCGA-FS-A4F5-06	807	0	0	0	218	0
TCGA-FS-A4F8-06	180	2	10	0	34	9
TCGA-FS-A4F9-06	499	0	0	12	79	0
TCGA-FS-A4FB-06	184	7	0	4	55	0
TCGA-FS-A4FC-06	802	0	0	17	180	0
TCGA-FS-A4FD-06	478	0	0	35	95	0
TCGA-FW-A3I3-06	8	9	38	8	0	10
TCGA-FW-A3R5-06	19293	0	0	1310	6866	0
TCGA-FW-A3TU-06	841	67	48	10	111	3
TCGA-FW-A3TV-06	326	0	1	33	97	1
TCGA-FW-A5DX-01	212	18	15	0	15	7
TCGA-FW-A5DY-06	207	0	3	0	31	0
TCGA-GF-A2C7-01	86	12	5	0	0	0
TCGA-GF-A3OT-06	591	39	13	5	136	0
TCGA-GF-A4EO-06	275	25	5	2	37	2
TCGA-GF-A6C8-06	416	11	8	0	92	0
TCGA-GF-A6C9-06	2981	0	0	163	710	0
TCGA-GF-A769-01	147	20	11	3	33	1
TCGA-GN-A262-06	401	40	17	0	37	0
TCGA-GN-A263-01	531	1	0	12	59	0
TCGA-GN-A264-06	7	13	7	14	13	7
TCGA-GN-A265-06	241	16	0	0	44	9
TCGA-GN-A266-06	4076	0	0	317	954	0
TCGA-GN-A267-06	482	12	31	10	54	11
TCGA-GN-A268-06	358	0	12	26	55	0
TCGA-GN-A269-01	853	1	0	20	117	7
TCGA-GN-A26A-06	387	9	15	0	34	7
TCGA-GN-A26C-01	2023	0	0	100	384	0
TCGA-GN-A26D-06	13	27	9	1	8	0
TCGA-GN-A4U3-06	361	19	1	3	77	0
