NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	147.771	73.139	26.67	52.085	0.609	0.743	40000.0
2	148.35	73.627	26.802	52.211	0.607	0.742	40000.0
3	147.677	72.394	26.667	51.734	0.612	0.751	40000.0
4	147.068	72.186	26.475	51.628	0.609	0.751	50000.0
5	148.679	73.146	26.44	51.893	0.615	0.747	30000.0
6	147.526	72.718	26.628	51.945	0.606	0.744	30000.0
7	149.311	73.102	26.619	52.001	0.616	0.747	40000.0
8	147.92	72.552	26.689	51.881	0.614	0.75	30000.0
9	147.587	73.273	26.617	51.954	0.604	0.745	30000.0
10	147.334	72.395	26.42	51.727	0.612	0.751	60000.0
11	148.284	73.606	26.76	52.006	0.607	0.744	40000.0
12	149.137	73.92	26.765	52.5	0.618	0.742	50000.0
13	147.675	72.425	26.641	51.607	0.612	0.753	60000.0
14	147.307	72.801	26.654	51.982	0.606	0.745	30000.0
15	147.048	72.489	26.438	51.782	0.602	0.746	40000.0
16	147.981	72.474	26.639	51.77	0.614	0.751	40000.0
17	148.362	72.982	26.771	52.07	0.608	0.745	30000.0
18	147.915	73.054	26.724	51.928	0.607	0.744	40000.0
19	148.032	72.688	26.677	51.854	0.615	0.75	30000.0
20	147.275	72.305	26.54	51.629	0.612	0.751	30000.0
21	148.312	73.271	26.823	52.023	0.606	0.744	40000.0
22	147.621	73.007	26.563	51.975	0.605	0.744	20000.0
23	147.902	73.128	26.63	52.114	0.61	0.742	40000.0
24	147.378	72.25	26.449	51.522	0.61	0.754	40000.0
25	148.016	73.511	26.74	52.147	0.612	0.741	40000.0
26	148.433	73.586	26.77	52.131	0.607	0.742	20000.0
27	147.747	72.508	26.667	51.862	0.614	0.75	70000.0
28	148.011	72.414	26.713	51.774	0.614	0.75	30000.0
29	148.006	73.229	26.761	52.048	0.605	0.743	30000.0
30	147.883	73.214	26.724	52.171	0.61	0.742	30000.0
31	148.68	72.833	26.439	51.73	0.612	0.751	40000.0
32	147.396	73.193	26.559	52.122	0.608	0.742	30000.0
33	147.656	73.287	26.678	52.115	0.609	0.742	40000.0
34	147.613	72.407	26.552	51.658	0.614	0.751	70000.0
35	148.908	73.395	26.753	52.281	0.612	0.745	50000.0
36	148.811	73.817	26.766	52.396	0.614	0.744	20000.0
37	147.873	73.187	26.757	52.023	0.605	0.744	40000.0
38	148.534	73.391	26.864	52.071	0.606	0.744	40000.0
39	147.818	72.323	26.637	51.729	0.61	0.752	30000.0
40	148.083	73.131	26.701	52.073	0.608	0.744	40000.0
