Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-3N-A9WB-06	144	0	2	68	7	0	0
TCGA-3N-A9WC-06	1806	0	0	553	157	71	0
TCGA-3N-A9WD-06	906	0	0	260	70	25	0
TCGA-BF-A1PU-01	67	15	6	24	0	0	0
TCGA-BF-A1PV-01	286	0	0	99	0	6	0
TCGA-BF-A1PX-01	369	0	0	86	0	2	0
TCGA-BF-A1PZ-01	256	21	8	46	0	2	0
TCGA-BF-A1Q0-01	627	0	0	238	48	27	14
TCGA-BF-A3DJ-01	130	5	0	59	4	0	0
TCGA-BF-A3DL-01	396	0	0	155	40	15	0
TCGA-BF-A3DM-01	467	0	4	152	27	0	0
TCGA-BF-A3DN-01	58	0	0	24	5	22	0
TCGA-BF-A5EO-01	571	0	0	218	45	25	0
TCGA-BF-A5EP-01	142	15	19	24	10	4	10
TCGA-BF-A5EQ-01	584	0	0	184	31	10	0
TCGA-BF-A5ER-01	189	9	8	68	2	0	0
TCGA-BF-A5ES-01	514	6	19	152	23	0	0
TCGA-BF-A9VF-01	90	0	8	13	4	10	0
TCGA-BF-AAOU-01	324	3	2	123	0	0	0
TCGA-BF-AAOX-01	1193	0	0	448	42	32	0
TCGA-BF-AAP0-06	445	0	0	176	16	5	0
TCGA-BF-AAP1-01	790	0	0	368	54	7	0
TCGA-BF-AAP2-01	1428	0	0	391	14	0	0
TCGA-BF-AAP4-01	845	2	0	245	14	12	6
TCGA-BF-AAP6-01	40	5	12	32	0	2	0
TCGA-BF-AAP7-01	407	8	8	156	4	31	4
TCGA-BF-AAP8-01	0	0	7	0	1	6	0
TCGA-D3-A1Q1-06	3	16	27	4	3	12	2
TCGA-D3-A1Q3-06	0	1	6	3	5	27	8
TCGA-D3-A1Q4-06	283	0	1	67	12	8	0
TCGA-D3-A1Q5-06	371	27	1	93	0	0	0
TCGA-D3-A1Q6-06	849	4	6	207	49	28	0
TCGA-D3-A1Q7-06	96	0	3	32	0	0	0
