Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-3N-A9WB-06	156	0	19	6	2	0	38	0
TCGA-3N-A9WC-06	1547	0	780	0	21	0	239	0
TCGA-3N-A9WD-06	896	0	232	1	10	3	114	5
TCGA-BF-A1PU-01	48	10	35	4	0	0	15	0
TCGA-BF-A1PV-01	283	0	46	3	0	8	51	0
TCGA-BF-A1PX-01	318	0	97	0	0	3	39	0
TCGA-BF-A1PZ-01	167	0	144	0	0	0	22	0
TCGA-BF-A1Q0-01	560	0	251	0	9	0	117	17
TCGA-BF-A3DJ-01	132	10	22	2	0	0	32	0
TCGA-BF-A3DL-01	389	0	121	0	18	0	77	1
TCGA-BF-A3DM-01	343	0	239	0	0	0	68	0
TCGA-BF-A3DN-01	59	0	20	0	2	15	13	0
TCGA-BF-A5EO-01	527	0	213	2	11	0	106	0
TCGA-BF-A5EP-01	98	1	96	12	0	0	10	7
TCGA-BF-A5EQ-01	518	0	204	0	0	0	87	0
TCGA-BF-A5ER-01	157	4	73	7	0	0	35	0
TCGA-BF-A5ES-01	383	0	256	7	0	0	68	0
TCGA-BF-A9VF-01	63	0	51	5	0	2	4	0
TCGA-BF-AAOU-01	307	11	60	6	0	0	68	0
TCGA-BF-AAOX-01	1030	0	459	0	0	0	226	0
TCGA-BF-AAP0-06	385	0	166	0	0	0	91	0
TCGA-BF-AAP1-01	743	0	269	0	15	0	192	0
TCGA-BF-AAP2-01	1199	0	459	0	0	0	175	0
TCGA-BF-AAP4-01	648	0	361	0	0	0	115	0
TCGA-BF-AAP6-01	23	0	42	6	0	0	20	0
TCGA-BF-AAP7-01	294	0	233	0	0	8	83	0
TCGA-BF-AAP8-01	0	0	2	5	1	6	0	0
TCGA-D3-A1Q1-06	0	10	19	22	2	9	4	1
TCGA-D3-A1Q3-06	1	0	2	5	6	25	4	7
TCGA-D3-A1Q4-06	301	17	10	11	0	8	24	0
TCGA-D3-A1Q5-06	286	14	144	0	0	0	48	0
TCGA-D3-A1Q6-06	554	0	505	0	0	0	84	0
TCGA-D3-A1Q7-06	77	0	35	2	0	0	17	0
TCGA-D3-A1Q8-06	164	0	126	1	0	0	33	0
TCGA-D3-A1Q9-06	0	7	12	4	5	6	3	5
TCGA-D3-A1QA-06	388	0	117	10	6	0	83	0
TCGA-D3-A1QB-06	281	0	178	7	0	0	55	0
TCGA-D3-A2J6-06	4	3	8	4	1	2	4	0
TCGA-D3-A2J7-06	257	0	170	0	0	0	48	0
TCGA-D3-A2J8-06	651	0	0	0	1	1	123	0
TCGA-D3-A2J9-06	50	2	25	9	0	0	9	0
TCGA-D3-A2JA-06	271	0	159	7	0	4	53	0
TCGA-D3-A2JB-06	2	8	2	1	2	0	2	1
TCGA-D3-A2JC-06	151	0	69	6	0	7	43	0
TCGA-D3-A2JD-06	323	0	191	0	0	0	37	1
TCGA-D3-A2JE-06	280	0	120	9	0	0	39	14
TCGA-D3-A2JF-06	1359	0	412	0	0	0	203	0
TCGA-D3-A2JG-06	83	0	47	4	0	0	12	2
TCGA-D3-A2JH-06	418	0	323	0	0	0	112	0
TCGA-D3-A2JK-06	227	5	139	4	0	0	32	0
TCGA-D3-A2JL-06	260	0	119	14	4	3	40	0
TCGA-D3-A2JN-06	226	0	170	2	6	1	40	1
TCGA-D3-A2JO-06	647	16	26	13	0	46	86	7
TCGA-D3-A2JP-06	178	0	126	0	0	0	55	0
TCGA-D3-A3BZ-06	1	0	14	20	11	7	0	28
TCGA-D3-A3C1-06	68	0	87	15	0	3	26	0
TCGA-D3-A3C3-06	128	0	180	12	1	0	19	0
TCGA-D3-A3C6-06	107	18	15	0	0	0	15	0
TCGA-D3-A3C7-06	823	0	316	0	0	0	119	12
TCGA-D3-A3C8-06	537	0	51	0	28	3	84	0
TCGA-D3-A3CB-06	216	0	51	0	7	0	43	0
TCGA-D3-A3CC-06	6	10	0	3	13	4	0	3
TCGA-D3-A3CE-06	22	1	3	7	0	5	1	1
TCGA-D3-A3CF-06	0	12	16	9	3	0	2	0
TCGA-D3-A3ML-06	848	0	230	0	18	14	158	0
TCGA-D3-A3MO-06	31	7	11	10	7	11	6	0
TCGA-D3-A3MR-06	755	0	303	0	0	0	119	0
TCGA-D3-A3MU-06	517	9	81	13	7	0	29	6
TCGA-D3-A3MV-06	462	0	171	0	8	0	94	0
TCGA-D3-A51E-06	159	0	149	0	0	6	54	0
TCGA-D3-A51F-06	76	0	83	1	0	0	5	0
TCGA-D3-A51G-06	793	0	698	0	0	0	199	0
TCGA-D3-A51H-06	26	0	12	0	2	0	0	0
TCGA-D3-A51J-06	362	0	201	0	0	0	50	0
TCGA-D3-A51K-06	2	6	0	9	4	5	0	6
TCGA-D3-A51N-06	45	0	68	1	0	0	5	0
TCGA-D3-A51R-06	657	0	199	0	0	0	112	0
TCGA-D3-A51T-06	938	0	520	0	0	0	156	0
TCGA-D3-A5GL-06	323	0	151	14	0	28	52	9
TCGA-D3-A5GN-06	546	18	50	12	0	0	43	0
TCGA-D3-A5GO-06	1562	0	387	0	0	0	227	0
TCGA-D3-A5GR-06	217	0	100	5	1	10	19	0
TCGA-D3-A5GS-06	326	0	203	0	0	0	27	0
TCGA-D3-A5GT-01	0	4	2	12	1	3	3	1
TCGA-D3-A5GU-06	426	0	530	0	0	0	63	0
TCGA-D3-A8GB-06	751	0	569	0	0	0	144	0
TCGA-D3-A8GC-06	757	0	315	0	0	0	87	0
TCGA-D3-A8GD-06	27	6	66	4	0	10	18	1
TCGA-D3-A8GE-06	0	3	0	0	2	3	0	0
TCGA-D3-A8GI-06	5114	0	1059	0	207	0	852	0
TCGA-D3-A8GJ-06	197	3	28	9	0	3	32	0
TCGA-D3-A8GK-06	560	0	171	0	0	13	54	0
TCGA-D3-A8GL-06	1734	0	561	0	0	0	268	0
TCGA-D3-A8GM-06	3323	39	679	511	0	348	324	20
TCGA-D3-A8GN-06	207	0	86	5	0	0	43	0
TCGA-D3-A8GO-06	518	0	198	0	0	9	75	0
TCGA-D3-A8GP-06	501	6	135	10	0	26	96	10
TCGA-D3-A8GQ-06	1370	0	259	0	85	0	267	0
TCGA-D3-A8GR-06	310	0	147	1	0	14	44	3
TCGA-D3-A8GS-06	161	0	106	11	0	0	14	1
TCGA-D3-A8GV-06	346	0	118	4	1	11	79	0
TCGA-D9-A148-06	160	0	186	0	6	0	34	0
TCGA-D9-A149-06	166	0	115	4	0	0	33	0
TCGA-D9-A1JW-06	890	0	229	5	0	42	90	0
TCGA-D9-A1JX-06	140	0	55	2	1	7	46	0
TCGA-D9-A1X3-06	5	8	22	13	0	0	0	0
TCGA-D9-A3Z1-06	374	0	253	0	0	0	53	0
TCGA-D9-A3Z3-06	133	0	15	6	3	11	12	4
TCGA-D9-A3Z4-01	101	0	80	10	0	5	11	0
TCGA-D9-A4Z2-01	0	5	8	6	0	4	3	5
TCGA-D9-A4Z3-01	742	0	268	37	0	10	21	0
TCGA-D9-A4Z5-01	11	47	1	14	7	4	4	0
TCGA-D9-A4Z6-06	282	1	55	0	0	0	31	0
TCGA-D9-A6E9-06	144	0	67	6	0	8	21	0
TCGA-D9-A6EA-06	537	0	275	0	0	0	68	9
TCGA-D9-A6EC-06	2625	0	1050	0	17	252	424	1400
TCGA-D9-A6EG-06	31	0	49	10	3	5	6	0
TCGA-DA-A1HV-06	1218	0	411	0	42	0	199	0
TCGA-DA-A1HW-06	232	0	162	0	1	0	57	0
TCGA-DA-A1HY-06	655	0	273	0	0	2	68	0
TCGA-DA-A1I0-06	355	0	266	0	0	0	65	0
TCGA-DA-A1I1-06	292	0	178	0	0	0	61	0
TCGA-DA-A1I2-06	83	0	82	1	0	1	12	0
TCGA-DA-A1I4-06	220	0	99	4	0	0	39	0
TCGA-DA-A1I5-06	463	0	62	0	0	8	56	0
TCGA-DA-A1I7-06	286	0	197	1	4	0	121	0
TCGA-DA-A1I8-06	101	0	133	1	1	7	9	0
TCGA-DA-A1IA-06	204	0	246	7	3	0	24	0
TCGA-DA-A1IB-06	0	4	0	0	2	2	0	0
TCGA-DA-A1IC-06	713	0	478	24	0	13	134	0
TCGA-DA-A3F3-06	244	0	75	7	3	0	63	0
TCGA-DA-A3F5-06	206	0	186	13	0	10	42	0
TCGA-DA-A3F8-06	1158	0	320	0	0	0	166	0
TCGA-DA-A95V-06	204	3	125	19	0	0	18	3
TCGA-DA-A95W-06	125	0	66	5	0	2	18	0
TCGA-DA-A95X-06	398	2	178	0	3	4	99	0
TCGA-DA-A95Y-06	378	0	89	8	0	26	53	7
TCGA-DA-A95Z-06	1764	0	499	6	0	4	383	0
TCGA-DA-A960-01	712	0	304	0	0	0	171	0
TCGA-EB-A1NK-01	107	0	62	6	0	0	21	0
TCGA-EB-A24C-01	2	7	4	15	0	3	2	2
TCGA-EB-A24D-01	459	0	280	0	0	0	74	2
TCGA-EB-A299-01	122	0	70	1	0	0	14	0
TCGA-EB-A3HV-01	23	15	12	3	3	1	6	0
TCGA-EB-A3XB-01	427	0	160	3	0	26	80	0
TCGA-EB-A3XC-01	320	2	180	3	0	0	51	12
TCGA-EB-A3XD-01	288	0	151	0	0	0	81	0
TCGA-EB-A3XE-01	11	5	0	4	0	1	0	1
TCGA-EB-A3XF-01	384	0	76	0	3	11	62	0
TCGA-EB-A3Y6-01	415	0	329	4	0	0	93	0
TCGA-EB-A3Y7-01	912	0	378	0	31	26	163	8
TCGA-EB-A41A-01	1849	0	427	0	20	23	301	0
TCGA-EB-A41B-01	395	0	67	0	9	0	84	0
TCGA-EB-A42Y-01	21	7	10	16	5	5	4	13
TCGA-EB-A42Z-01	65	12	46	6	0	0	28	0
TCGA-EB-A430-01	273	0	197	0	0	0	59	0
TCGA-EB-A431-01	1449	0	778	0	0	0	170	0
TCGA-EB-A44N-01	103	0	77	0	0	0	28	0
TCGA-EB-A44O-01	340	0	283	1	0	0	68	0
TCGA-EB-A44P-01	245	0	184	0	0	6	43	0
TCGA-EB-A44Q-06	18	12	0	14	1	11	0	1
TCGA-EB-A44R-06	1	11	5	27	1	14	6	6
TCGA-EB-A4IQ-01	4	3	0	6	0	6	3	0
TCGA-EB-A4IS-01	441	0	295	0	0	0	37	0
TCGA-EB-A4OY-01	2	5	13	21	6	18	0	7
TCGA-EB-A4OZ-01	2	6	0	0	1	5	0	2
