Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-3N-A9WB-06	125	50	0	1	6	3	0	36	0
TCGA-3N-A9WC-06	1292	1054	0	0	0	26	0	215	0
TCGA-3N-A9WD-06	724	420	0	0	0	18	1	92	6
TCGA-BF-A1PU-01	44	41	12	1	0	0	0	14	0
TCGA-BF-A1PV-01	229	110	0	0	0	0	8	44	0
TCGA-BF-A1PX-01	262	162	0	0	0	0	7	26	0
TCGA-BF-A1PZ-01	149	157	10	0	0	0	4	13	0
TCGA-BF-A1Q0-01	465	345	0	0	0	12	2	110	20
TCGA-BF-A3DJ-01	108	51	9	0	0	0	0	30	0
TCGA-BF-A3DL-01	317	199	0	0	0	16	0	73	1
TCGA-BF-A3DM-01	297	289	0	0	0	0	0	64	0
TCGA-BF-A3DN-01	48	32	0	0	0	2	15	12	0
TCGA-BF-A5EO-01	437	309	0	0	0	11	2	100	0
TCGA-BF-A5EP-01	86	105	8	7	0	0	4	6	8
TCGA-BF-A5EQ-01	426	307	0	0	0	0	0	76	0
TCGA-BF-A5ER-01	131	103	9	0	0	0	0	32	1
TCGA-BF-A5ES-01	336	316	0	0	0	0	0	62	0
TCGA-BF-A9VF-01	54	62	0	2	0	0	5	2	0
TCGA-BF-AAOU-01	256	124	10	0	0	0	2	60	0
TCGA-BF-AAOX-01	879	617	0	0	0	0	6	213	0
TCGA-BF-AAP0-06	325	230	0	0	0	0	0	87	0
TCGA-BF-AAP1-01	619	399	0	0	0	13	0	188	0
TCGA-BF-AAP2-01	1004	688	0	0	0	0	0	141	0
TCGA-BF-AAP4-01	559	460	0	0	0	0	2	99	4
TCGA-BF-AAP6-01	21	39	1	5	0	0	3	22	0
TCGA-BF-AAP7-01	260	255	0	0	0	0	21	81	1
TCGA-BF-AAP8-01	0	0	0	5	2	1	6	0	0
TCGA-D3-A1Q1-06	2	1	4	19	29	1	7	3	1
TCGA-D3-A1Q3-06	1	4	0	4	2	5	24	4	6
TCGA-D3-A1Q4-06	242	92	12	1	0	1	7	16	0
TCGA-D3-A1Q5-06	246	188	21	0	0	0	0	37	0
TCGA-D3-A1Q6-06	496	575	0	0	0	0	0	72	0
TCGA-D3-A1Q7-06	68	48	0	0	0	0	0	15	0
TCGA-D3-A1Q8-06	144	147	0	0	0	0	4	29	0
TCGA-D3-A1Q9-06	1	6	6	4	6	5	6	3	5
TCGA-D3-A1QA-06	318	200	0	0	0	7	0	79	0
TCGA-D3-A1QB-06	245	223	0	0	0	0	2	50	1
TCGA-D3-A2J6-06	4	7	3	3	4	0	1	4	0
TCGA-D3-A2J7-06	220	210	0	0	0	0	0	45	0
TCGA-D3-A2J8-06	499	165	0	0	0	7	0	105	0
TCGA-D3-A2J9-06	43	33	3	7	0	0	1	8	0
TCGA-D3-A2JA-06	239	187	6	0	0	0	12	49	1
TCGA-D3-A2JB-06	2	1	7	1	2	2	0	2	1
TCGA-D3-A2JC-06	127	95	3	0	0	0	11	40	0
TCGA-D3-A2JD-06	274	248	0	0	0	0	0	25	5
TCGA-D3-A2JE-06	237	175	0	0	0	0	2	32	16
TCGA-D3-A2JF-06	1125	680	0	0	0	0	0	169	0
TCGA-D3-A2JG-06	69	63	0	0	0	0	2	11	3
TCGA-D3-A2JH-06	365	369	0	0	0	0	8	111	0
TCGA-D3-A2JK-06	194	172	14	0	0	0	1	26	0
TCGA-D3-A2JL-06	212	179	0	0	0	4	7	37	1
TCGA-D3-A2JN-06	194	196	0	0	0	7	8	38	3
TCGA-D3-A2JO-06	520	165	0	0	38	9	36	68	5
TCGA-D3-A2JP-06	152	152	0	0	0	0	0	55	0
TCGA-D3-A3BZ-06	3	0	0	16	26	9	5	0	22
TCGA-D3-A3C1-06	61	90	1	11	0	0	9	27	0
TCGA-D3-A3C3-06	113	192	12	3	0	4	0	16	0
TCGA-D3-A3C6-06	88	40	16	0	0	0	0	10	1
TCGA-D3-A3C7-06	695	462	0	0	0	0	0	98	15
TCGA-D3-A3C8-06	416	189	0	0	0	24	0	74	0
TCGA-D3-A3CB-06	171	100	0	0	0	6	0	40	0
TCGA-D3-A3CC-06	6	0	6	2	6	14	3	0	2
TCGA-D3-A3CE-06	17	0	0	4	17	0	2	0	0
TCGA-D3-A3CF-06	0	12	13	8	3	4	0	2	0
TCGA-D3-A3ML-06	689	404	0	0	0	19	11	145	0
TCGA-D3-A3MO-06	27	18	6	7	4	6	10	5	0
TCGA-D3-A3MR-06	634	441	0	0	0	0	0	100	2
TCGA-D3-A3MU-06	410	197	3	0	20	12	0	15	5
TCGA-D3-A3MV-06	379	260	0	0	0	8	0	88	0
TCGA-D3-A51E-06	141	156	4	0	0	0	13	54	0
TCGA-D3-A51F-06	68	91	5	0	0	0	0	1	0
TCGA-D3-A51G-06	696	786	0	0	0	0	17	191	0
